Planula_Early_1_AR012_RSEM	Planula_Early_2_AR002_RSEM	Planula_Late_1_AR019_RSEM	Planula_Late_3_AR002_RSEM	Polyp_1_RSEM	Polyp_2_AR005_RSEM	Polyp_3_AR006_RSEM	Strobila_Early_1_AR019_RSEM	Strobila_Early_2_AR006_RSEM	Strobila_Early_3_AR005_RSEM	Strobila_Late_1_AR015_RSEM	Strobila_Late_2_AR005_RSEM	Strobila_Late_3_AR019_RSEM	Ephyra_1_AR019_RSEM	Ephyra_2_AR012_RSEM	Ephyra_3_AR018_RSEM	Juvenile_1_AR002_RSEM	Juvenile_2_AR013_RSEM
evm.model.Seg1005.3	0.000	1.627	0.000	0.000	0.305	0.000	0.000	0.896	1.375	1.116	1.070	0.861	0.951	0.576	0.811	1.041	0.000	0.000
evm.model.Seg1010.4	0.590	2.363	0.389	0.475	1.264	1.171	0.051	1.408	1.988	2.455	2.347	2.067	1.596	2.330	0.487	0.694	1.556	0.781
evm.model.Seg1011.2.1.57f48f75	0.000	0.349	0.000	0.716	0.595	0.000	0.000	14.208	11.817	11.112	0.000	0.000	0.000	0.151	0.750	0.000	0.185	0.101
evm.model.Seg1011.2.2.57f48f75	0.000	0.000	0.000	0.000	0.327	0.693	0.307	5.717	5.141	5.886	0.904	1.001	0.488	0.000	0.000	0.000	0.000	0.000
evm.model.Seg1012.6	2.864	8.769	2.008	2.042	4.090	4.831	5.957	7.605	7.861	6.695	4.018	4.741	5.790	1.446	5.151	0.639	8.913	5.106
evm.model.Seg1025.3.1.57f48f75	0.000	4.520	0.000	0.000	0.000	0.000	0.000	0.000	6.094	0.000	0.000	0.000	0.000	0.000	0.000	4.584	4.276	0.000
evm.model.Seg1027.15	0.000	12.850	0.340	0.964	2.023	0.607	5.778	13.312	10.733	10.740	11.570	8.876	8.040	1.843	13.243	1.644	1.949	12.019
evm.model.Seg1044.8	6.030	41.313	2.779	6.126	15.089	10.945	146.507	44.406	31.576	31.792	21.194	34.133	29.173	22.237	79.600	102.579	29.259	33.295
evm.model.Seg1056.4	2.049	7.916	1.876	0.529	0.312	0.787	16.415	5.899	6.175	6.816	7.124	5.488	4.698	1.309	6.794	7.798	1.641	11.499
evm.model.Seg1071.4	8.188	14.567	8.643	1.279	5.645	2.292	6.213	28.011	33.915	23.637	16.058	14.979	13.201	4.824	24.296	19.285	7.249	17.617
evm.model.Seg1085.12	5.510	37.167	3.467	4.064	5.972	3.805	26.182	18.198	18.865	17.212	21.726	15.135	14.069	8.826	22.105	25.640	6.271	29.057
evm.model.Seg1087.4.1.57f48f75	0.132	41.752	0.104	0.000	0.208	0.325	20.940	24.598	23.273	21.517	21.871	19.409	18.925	2.124	49.362	34.041	0.370	55.931
evm.model.Seg1089.1	0.124	7.180	0.076	0.000	0.461	0.385	10.764	5.621	5.934	4.026	1.609	2.026	2.713	0.000	2.352	4.584	0.439	4.672
evm.model.Seg1091.18	1.164	49.255	4.502	4.854	1.502	0.436	3.068	12.203	11.295	9.141	2.161	2.002	1.365	0.000	3.427	3.470	0.693	3.008
evm.model.Seg1095.17	74.539	165.071	55.929	52.292	39.564	71.913	72.077	83.105	87.971	56.434	29.478	40.384	51.919	0.000	81.567	141.295	0.000	0.000
evm.model.Seg1121.1	0.458	3.345	0.111	0.000	0.335	0.000	0.997	2.784	2.671	2.315	1.961	2.051	1.828	0.000	0.000	0.895	1.664	1.287
evm.model.Seg1125.1	0.784	42.101	0.000	0.000	0.178	0.000	4.628	8.203	9.397	11.475	1.243	2.986	2.266	0.000	1.704	0.000	0.000	3.732
evm.model.Seg1125.2	0.000	6.134	0.000	0.000	0.007	0.000	0.000	2.229	2.912	1.748	0.000	0.000	0.000	0.000	0.000	0.347	0.000	0.000
evm.model.Seg1133.4	23.858	221.855	28.492	25.055	20.005	18.350	193.118	141.442	142.810	138.644	146.936	110.997	103.697	34.030	189.376	206.856	27.664	393.887
evm.model.Seg114.5	6.690	23.362	4.440	6.126	4.135	7.850	11.071	23.862	23.213	24.735	13.704	16.775	18.247	11.300	9.876	15.340	16.016	12.916
evm.model.Seg115.5	2.616	39.402	1.480	0.489	1.658	1.377	14.344	10.731	14.066	11.633	20.469	11.599	9.396	2.995	9.714	7.031	1.633	20.770
evm.model.Seg1157.2	0.404	8.239	0.028	0.000	2.357	0.197	13.577	9.483	9.699	8.350	8.367	9.877	9.438	0.000	2.089	13.021	0.424	5.568
evm.model.Seg1174.1	0.357	5.062	0.313	0.141	0.268	0.316	1.585	2.016	1.807	1.116	0.269	1.173	1.323	0.281	0.000	0.256	0.000	1.302
evm.model.Seg1186.7	22.647	30.994	19.975	23.474	25.226	30.689	10.151	34.081	35.381	31.541	43.865	36.201	35.815	17.789	3.955	5.095	1.233	2.242
evm.model.Seg119.4	1.839	0.646	0.577	1.265	2.774	0.257	1.509	3.883	2.179	2.083	0.559	0.090	0.000	0.781	0.000	0.000	0.801	0.000
evm.model.Seg1201.2	0.000	6.961	0.069	0.408	1.175	1.300	2.506	4.651	5.100	4.547	6.793	4.700	5.153	0.000	3.062	2.977	3.428	3.891
evm.model.Seg1234.12	0.054	1.369	0.063	0.000	0.089	0.060	0.486	0.640	0.894	0.632	0.718	0.328	0.529	1.035	0.000	0.000	0.062	0.000
evm.model.Seg1234.15	0.000	1.033	0.000	0.000	0.000	0.000	2.736	0.832	0.492	0.586	0.476	0.148	0.083	0.349	1.115	1.753	0.585	0.260
evm.model.Seg1254.12	21.095	31.743	3.752	3.957	0.491	0.094	0.332	4.000	5.221	4.975	2.313	1.690	1.613	0.000	2.028	2.538	0.100	0.145
evm.model.Seg12546.1	0.179	0.000	0.000	0.000	0.513	0.068	0.153	1.301	0.773	1.339	0.221	0.000	0.000	0.000	0.000	0.000	0.000	0.000
evm.model.Seg1268.13	1.203	2.893	0.868	0.844	0.528	0.735	4.040	3.072	3.624	3.803	2.982	1.255	1.042	1.884	3.103	1.406	0.216	0.781
evm.model.Seg1273.8	21.095	32.893	27.117	22.872	53.121	29.526	10.278	57.409	55.110	55.020	18.812	26.143	25.194	0.000	16.224	20.125	0.000	0.000
evm.model.Seg1275.1.1.57f48f76	17.688	15.833	1.195	1.185	37.571	82.199	18.230	20.950	1.536	6.630	47.531	10.451	20.802	0.000	23.626	41.985	17.172	14.550
evm.model.Seg1299.9	2.740	6.367	2.696	2.651	9.073	2.984	3.426	8.064	8.524	9.010	14.870	10.968	10.653	4.447	7.524	6.118	2.951	6.856
evm.model.Seg130.5	2.010	73.276	2.022	1.868	1.242	0.607	38.736	37.003	32.500	32.034	42.001	26.152	24.053	0.000	62.280	70.072	2.342	67.473
evm.model.Seg1308.8	0.272	0.697	0.459	0.542	0.164	0.701	1.560	1.216	1.175	0.958	0.207	0.451	0.604	0.000	5.151	2.082	0.000	0.000
evm.model.Seg1342.3	3.927	7.374	4.697	6.454	2.439	0.120	3.682	25.291	28.986	26.827	32.537	10.845	1.224	22.168	1.724	1.680	27.656	8.707
evm.model.Seg13451.1	0.931	0.000	0.195	0.000	0.253	0.000	0.000	3.168	2.259	1.776	0.000	0.000	0.000	0.000	1.156	0.000	0.000	0.000
evm.model.Seg1359.16	1.327	57.120	0.625	2.424	1.673	1.377	30.298	36.321	35.562	31.420	32.371	26.373	28.428	2.255	53.458	53.034	0.000	84.019
evm.model.Seg1359.21	4.789	12.888	2.793	1.788	4.306	3.771	7.466	10.198	7.922	9.550	4.549	5.865	7.122	5.441	5.313	7.013	5.385	16.850
evm.model.Seg1365.9	0.000	8.007	0.208	0.000	1.331	1.317	0.000	7.659	10.110	5.496	4.025	2.018	4.516	0.000	0.000	0.000	0.000	4.093
evm.model.Seg1373.5	6.636	4.895	2.598	3.107	3.242	4.027	4.270	19.307	16.044	7.569	0.897	4.323	6.882	0.000	4.421	0.457	1.379	9.575
evm.model.Seg1399.1	2.654	6.405	2.112	0.897	3.428	3.660	19.713	12.619	12.691	11.400	6.227	5.086	4.425	4.763	13.588	7.250	6.032	16.951
evm.model.Seg1399.4	0.823	36.044	1.390	1.513	6.329	6.849	12.631	11.990	13.665	14.441	20.683	17.013	30.091	23.463	3.083	5.022	30.522	33.266
evm.model.Seg142.2	0.000	17.189	0.000	0.000	0.000	0.000	29.813	15.403	10.120	7.644	2.216	10.303	4.384	0.000	26.243	33.694	0.000	7.825
evm.model.Seg1422.1	3.508	24.692	1.487	1.413	1.034	0.701	15.469	11.275	13.363	10.694	12.910	10.139	8.031	0.000	13.953	21.586	0.185	34.915
evm.model.Seg1422.5	0.093	13.173	0.069	0.100	4.618	0.051	4.091	13.526	14.920	13.232	4.032	2.929	0.339	14.062	3.874	1.991	6.625	4.079
evm.model.Seg1465.5	0.047	7.232	0.028	0.000	0.126	0.051	2.148	7.616	8.122	5.282	3.631	5.972	6.890	1.768	4.766	3.452	1.271	0.000
evm.model.Seg1465.6	0.078	2.712	0.104	0.074	0.067	0.060	0.460	2.091	1.988	1.144	0.345	0.812	1.423	0.815	0.000	0.493	0.092	0.101
evm.model.Seg1478.3	0.939	4.417	0.000	0.000	1.301	0.667	0.000	0.544	0.542	0.911	3.141	0.738	0.306	0.000	0.000	1.844	0.000	0.000
evm.model.Seg1479.9	0.000	1.989	0.674	0.000	1.093	0.000	0.000	11.104	8.303	7.746	7.801	1.230	0.000	0.000	0.000	0.000	0.000	7.724
evm.model.Seg1522.3	0.295	0.827	0.778	0.141	0.982	0.752	0.000	2.571	2.540	2.799	0.787	0.632	0.935	0.740	1.055	0.475	0.247	1.215
evm.model.Seg1538.1	0.000	6.393	0.000	0.000	0.000	0.000	4.423	28.224	32.279	19.620	3.134	16.521	19.934	28.425	2.434	16.655	23.635	0.694
evm.model.Seg1538.2	0.000	2.996	0.000	0.000	0.015	0.094	0.537	2.635	2.510	2.167	1.961	0.000	0.000	5.557	1.501	0.000	4.368	1.750
evm.model.Seg1546.5	0.054	1.111	0.014	0.000	0.015	0.017	0.000	0.405	0.482	0.288	0.456	0.000	0.008	0.000	0.000	0.073	0.000	0.000
evm.model.Seg1564.2	1361.844	7256.486	1169.501	1248.504	871.288	1141.001	10762.323	5606.498	5010.295	4293.678	1887.099	3514.285	3951.849	796.108	16348.573	12834.034	1761.331	6985.245
evm.model.Seg1585.2	0.000	4.817	0.000	0.000	0.000	0.000	0.741	1.760	0.974	1.534	1.664	0.820	0.513	0.000	1.176	2.958	0.000	5.655
evm.model.Seg15870.1	1.909	2.208	0.160	0.000	2.053	1.744	0.332	0.800	1.014	0.883	0.801	3.388	4.012	2.337	0.000	4.255	0.978	0.636
evm.model.Seg1602.6	6.116	7.684	3.856	3.221	5.407	3.737	10.483	12.640	12.229	19.583	33.531	23.371	19.098	16.782	3.164	5.406	8.721	8.837
evm.model.Seg1614.10	2.747	9.828	1.862	1.339	5.094	2.548	3.938	16.512	12.851	11.651	5.033	9.064	8.288	1.562	0.892	0.000	2.280	7.174
evm.model.Seg1647.1	0.341	0.284	0.125	0.060	0.104	0.180	0.128	1.877	1.867	0.958	0.221	0.509	1.001	0.898	0.000	0.000	0.732	0.680
evm.model.Seg1653.12	4.796	12.604	2.661	1.995	2.216	1.616	7.006	9.696	8.695	8.908	12.026	10.541	11.158	6.846	11.195	11.797	6.055	7.362
evm.model.Seg1668.12	0.807	2.157	0.181	0.335	1.465	1.548	3.094	0.768	0.763	1.060	1.981	1.009	0.736	0.850	0.710	1.297	0.116	1.562
evm.model.Seg1668.2	0.745	1.563	0.521	1.326	0.766	0.966	0.384	8.821	5.653	6.621	1.643	3.289	3.912	3.084	0.000	2.191	1.094	3.616
evm.model.Seg1675.10.1.57f48f77	0.893	2.402	0.000	0.000	0.402	0.325	0.486	1.152	1.335	0.586	0.324	0.476	1.125	1.357	1.643	0.000	0.000	2.979
evm.model.Seg1682.3.1.57f48f77	1.110	1.963	0.347	0.000	3.205	5.686	0.946	5.344	7.490	7.625	17.245	13.502	16.692	6.099	0.000	2.940	5.292	3.876
evm.model.Seg1683.9	10.237	55.687	6.788	13.317	107.826	147.673	962.571	74.316	63.112	56.471	24.991	55.191	57.279	0.740	32.976	105.574	0.123	2.227
evm.model.Seg1686.9.2.57f48f77	0.000	0.788	0.000	0.000	0.535	0.402	0.000	0.405	0.311	0.270	0.214	0.566	0.000	0.925	0.000	0.000	0.000	0.000
evm.model.Seg1695.2	0.054	0.220	0.146	0.194	0.067	0.171	0.051	1.792	1.426	1.116	0.483	0.230	0.157	0.212	0.162	0.274	0.162	0.058
evm.model.Seg1698.5	0.427	12.682	0.271	0.000	0.000	0.000	5.037	6.016	7.801	6.825	7.677	6.357	5.418	0.000	8.457	12.984	0.000	10.949
evm.model.Seg1698.7	2.817	13.379	3.182	3.113	4.098	3.455	8.412	15.403	14.879	9.782	10.535	9.663	7.891	13.438	0.000	16.034	7.950	14.218
evm.model.Seg1704.12	0.023	0.517	0.104	0.040	0.134	0.043	0.026	0.661	0.904	0.586	0.235	0.041	0.083	0.000	0.000	0.073	0.108	0.029
evm.model.Seg1709.1	2.313	3.203	1.938	3.421	5.481	3.574	0.741	6.464	6.426	3.775	1.139	1.296	1.762	0.308	1.785	3.086	0.455	5.757
evm.model.Seg1714.4	2.243	13.792	1.285	1.118	8.024	3.172	3.528	6.293	6.134	4.426	6.344	3.946	3.284	4.166	3.042	7.433	0.948	5.872
evm.model.Seg1715.9.1.57f48f77	4.323	1.007	6.538	2.390	4.923	9.705	0.000	3.563	4.357	3.348	3.238	7.793	9.272	3.049	5.334	4.328	0.000	0.000
evm.model.Seg1717.8	2.538	5.721	2.425	1.701	0.528	0.000	12.426	8.789	8.966	10.972	8.975	13.584	14.260	3.988	4.847	4.547	4.892	2.184
evm.model.Seg1719.8	2.553	17.228	2.828	2.370	3.651	3.104	10.381	12.150	10.743	9.103	9.465	7.161	6.989	2.097	13.932	11.103	3.513	16.633
evm.model.Seg1727.2	1.475	0.000	0.000	0.000	2.543	1.514	0.000	0.811	1.637	1.441	2.251	1.395	1.356	3.371	0.385	0.000	2.843	0.000
evm.model.Seg1731.11	12.371	46.982	10.692	6.187	10.865	22.395	62.694	35.083	33.273	34.675	20.745	20.811	18.710	30.761	94.323	75.989	29.359	75.731
evm.model.Seg1731.4.1.57f48f77	3.950	10.577	2.084	1.560	1.591	0.770	1.074	2.411	3.122	1.757	0.621	0.886	1.133	0.624	3.711	2.958	0.724	1.475
evm.model.Seg1739.11	0.000	23.685	0.000	0.000	0.959	0.000	0.077	21.174	23.193	12.432	6.641	0.000	0.000	0.254	0.000	0.000	0.000	0.000
evm.model.Seg1743.3	2.763	13.005	2.307	0.891	2.885	2.069	2.531	13.131	12.891	10.043	3.597	3.798	4.202	1.528	2.515	2.721	3.228	7.405
evm.model.Seg1759.1	4.928	11.223	3.106	3.917	4.269	4.600	16.108	10.571	11.124	11.837	8.464	9.089	10.174	0.000	12.493	9.880	0.478	0.029
evm.model.Seg1766.5	2.282	3.965	2.960	2.698	3.837	3.078	0.051	3.403	3.534	3.887	3.562	3.298	3.110	4.865	0.162	0.073	0.046	0.029
evm.model.Seg1769.8.2.57f48f78	6.116	48.764	5.801	3.013	1.212	2.634	5.804	41.366	49.216	47.944	16.244	20.057	2.730	50.757	7.585	20.198	46.869	149.496
evm.model.Seg1773.1	3.198	7.942	1.522	1.861	2.543	2.351	0.000	6.869	7.781	4.863	1.022	1.083	0.678	3.536	1.156	1.004	0.316	1.490
evm.model.Seg1773.11.1.57f48f78	0.000	2.079	0.069	0.000	0.112	0.231	1.969	2.112	2.189	2.297	2.623	1.329	1.001	0.000	2.576	3.123	0.000	4.715
evm.model.Seg1773.2	0.000	0.000	0.000	0.000	0.000	0.000	0.205	13.590	8.895	8.573	0.000	0.435	0.000	0.000	0.000	1.589	0.000	0.000
evm.model.Seg1776.7.3.57f48f78	0.202	1.291	0.000	0.228	0.216	0.222	0.000	0.139	0.412	0.167	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
evm.model.Seg1782.13	1.475	8.020	1.139	1.011	0.796	0.932	2.097	5.877	6.707	4.817	2.603	2.797	3.242	2.851	1.460	2.374	3.159	5.901
evm.model.Seg1784.9	0.000	74.180	0.000	0.000	217.497	0.428	199.689	304.379	301.774	175.076	20.821	79.251	104.293	79.490	182.217	189.562	34.798	157.812
evm.model.Seg1787.9	0.062	3.991	0.042	0.000	0.260	0.026	0.051	0.949	1.185	0.837	0.877	1.542	1.563	0.000	0.000	1.790	0.077	0.000
evm.model.Seg1791.9	3.073	0.994	4.287	4.365	0.097	0.000	0.102	3.968	5.763	3.143	3.707	1.239	2.696	2.097	1.095	1.607	4.561	1.765
evm.model.Seg1794.6	0.116	0.323	0.000	0.000	0.178	0.214	0.000	0.917	1.094	0.567	0.207	0.041	0.157	0.000	0.000	0.000	0.000	0.275
evm.model.Seg1811.5	1.894	27.081	1.494	2.886	1.807	1.984	10.764	9.664	13.604	12.088	14.932	13.970	11.572	4.845	20.483	31.795	2.211	34.944
evm.model.Seg1816.10.1.57f48f78	0.008	13.237	0.007	0.007	0.015	0.009	14.600	21.099	12.650	13.651	0.007	0.008	6.609	0.007	16.346	0.018	0.008	32.297
evm.model.Seg1828.10.1.57f48f78	2.390	58.334	1.431	2.524	2.253	0.376	39.145	34.689	29.478	29.886	38.370	26.102	24.094	5.366	52.789	57.873	0.786	69.599
evm.model.Seg1828.7.1.57f48f78	0.497	4.765	0.327	0.770	0.632	0.735	2.020	1.899	2.239	1.841	2.057	1.755	1.762	0.973	2.089	2.246	0.693	3.211
evm.model.Seg1829.2.1.57f48f78	8.786	12.010	2.612	3.187	6.961	5.541	1.585	6.219	6.998	7.048	17.735	13.814	13.350	23.429	0.710	2.739	11.779	7.304
evm.model.Seg18.3	0.132	0.155	0.097	0.067	0.067	0.120	0.230	0.235	0.191	0.112	0.041	0.008	0.000	0.000	0.101	0.164	0.154	0.058
evm.model.Seg183.1	7.008	6.793	4.134	6.414	4.239	5.019	13.065	5.835	6.315	4.073	1.760	2.707	4.268	0.761	1.257	5.643	0.000	0.260
evm.model.Seg1835.12	0.000	12.527	0.000	0.000	0.208	0.000	2.224	11.744	10.472	6.416	1.450	3.454	5.575	4.598	21.031	4.072	1.510	4.975
evm.model.Seg1838.12	0.085	0.607	0.000	0.000	0.059	0.000	0.000	0.693	0.522	0.642	0.200	0.131	0.190	0.302	0.000	0.000	0.755	0.000
evm.model.Seg1838.8	0.000	1.472	0.000	0.000	0.000	0.000	0.000	2.027	2.289	1.339	0.000	0.000	0.165	0.000	0.000	1.260	0.000	0.000
evm.model.Seg1845.15	0.000	2.609	0.000	0.000	0.000	0.051	0.000	1.728	1.918	1.739	0.290	0.000	0.000	0.911	0.000	0.000	1.934	0.709
evm.model.Seg1851.5	0.504	7.051	0.264	0.147	0.312	0.231	0.563	2.155	2.159	1.506	0.373	0.418	0.529	0.514	2.170	0.457	0.555	2.936
evm.model.Seg1866.8	2.639	5.786	0.736	0.803	1.710	1.334	1.943	10.550	11.918	10.861	8.947	6.382	10.554	2.995	9.856	0.895	1.364	1.765
evm.model.Seg1870.2	4.517	8.381	1.570	2.772	11.304	9.816	15.852	7.659	7.590	7.411	13.352	9.901	10.199	15.720	5.171	5.442	16.108	5.424
evm.model.Seg1873.4	0.047	4.869	0.000	0.000	0.067	0.000	8.821	12.683	15.442	10.926	5.896	6.645	8.718	0.000	4.178	13.587	0.000	0.000
evm.model.Seg1874.1.1.57f48f78	0.590	1.459	0.000	0.000	1.510	0.829	0.000	1.131	1.275	1.032	1.153	0.919	1.282	0.000	0.000	1.662	1.025	0.000
evm.model.Seg1874.1.3.57f48f78	0.497	0.155	0.000	0.000	0.030	0.103	0.000	0.085	0.241	0.121	0.145	0.238	0.256	0.000	0.000	0.000	0.169	0.000
evm.model.Seg1877.6	0.776	0.878	0.229	0.509	1.026	0.684	0.102	1.888	1.506	1.832	1.312	0.935	0.778	0.528	0.385	0.475	0.809	1.172
evm.model.Seg1893.6	0.893	7.348	0.222	0.234	0.134	0.188	3.401	4.843	6.496	5.142	4.177	5.455	5.691	3.029	6.226	5.880	2.535	2.806
evm.model.Seg1893.6.1.57f48f78	0.000	2.622	0.097	0.121	0.059	0.103	1.355	5.461	4.006	3.441	2.099	2.961	2.928	3.995	0.000	2.301	1.325	1.548
evm.model.Seg1893.7	0.000	2.079	0.146	0.000	0.007	0.009	0.153	1.472	1.948	1.051	0.587	0.410	0.695	0.000	0.406	0.000	0.000	0.000
evm.model.Seg1901.5.1.57f48f78	0.000	0.000	0.000	0.000	0.000	0.000	0.051	0.085	0.060	0.056	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.043
