Planula_Early_1_AR012_RSEM	Planula_Early_2_AR002_RSEM	Planula_Late_1_AR019_RSEM	Planula_Late_3_AR002_RSEM	Polyp_1_RSEM	Polyp_2_AR005_RSEM	Polyp_3_AR006_RSEM	Strobila_Early_1_AR019_RSEM	Strobila_Early_2_AR006_RSEM	Strobila_Early_3_AR005_RSEM	Strobila_Late_1_AR015_RSEM	Strobila_Late_2_AR005_RSEM	Strobila_Late_3_AR019_RSEM	Ephyra_1_AR019_RSEM	Ephyra_2_AR012_RSEM	Ephyra_3_AR018_RSEM	Juvenile_1_AR002_RSEM	Juvenile_2_AR013_RSEM
evm.model.Seg1000.15	2.173	1.446	2.404	2.779	3.161	3.215	0.614	0.341	0.432	0.911	1.450	1.706	0.893	2.227	0.872	2.429	1.310	1.041
evm.model.Seg1000.22	15.142	8.627	24.095	18.734	6.626	9.175	1.969	0.768	0.442	0.186	0.000	0.599	0.273	0.000	0.000	0.000	0.000	0.000
evm.model.Seg1000.23	7.885	3.706	11.589	13.244	4.923	5.490	0.000	0.960	1.044	0.465	0.801	0.492	0.000	0.000	0.000	0.000	0.000	0.000
evm.model.Seg1000.4	17.145	36.845	7.879	9.608	2.447	7.482	16.159	8.789	8.634	7.411	5.626	6.202	6.005	3.762	20.949	17.148	4.853	20.871
evm.model.Seg1001.4	4.067	4.042	1.049	1.232	0.684	0.205	0.026	0.821	0.914	0.818	0.608	0.377	0.240	0.356	0.324	0.329	0.100	0.376
evm.model.Seg1003.1.1.57f48f75	2.941	2.131	16.251	10.432	5.994	7.773	0.358	2.069	0.984	1.413	2.996	2.092	3.457	3.454	3.245	0.000	5.123	0.000
evm.model.Seg1008.13	13.528	72.501	12.096	6.682	9.073	8.363	18.051	5.621	7.751	5.207	6.883	12.256	11.770	8.264	39.790	46.678	11.124	26.194
evm.model.Seg10085.1	5.386	0.000	7.615	11.335	8.039	9.013	0.000	0.000	0.000	0.000	0.732	0.000	0.000	10.546	0.000	0.000	5.447	0.000
evm.model.Seg10.1	18.309	125.889	17.133	14.261	1.004	1.710	2.531	3.947	5.502	4.250	4.591	3.995	3.590	4.022	17.258	27.430	3.004	6.841
evm.model.Seg10119.1	0.241	3.526	0.146	0.187	1.138	0.761	0.716	0.139	0.221	0.130	0.221	0.345	0.372	1.364	3.894	4.255	0.894	0.839
evm.model.Seg1018.9	117.326	29.264	80.273	42.061	108.771	114.342	245.865	0.416	0.000	0.307	11.791	5.529	4.260	168.540	327.707	201.852	191.745	455.285
evm.model.Seg1019.1.1.57f48f75	1.847	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
evm.model.Seg1019.13	13.776	12.449	12.520	5.638	4.008	2.163	1.585	2.400	1.888	1.478	1.981	1.796	1.762	5.139	0.872	2.611	4.946	1.215
evm.model.Seg1019.1.3.57f48f75	4.727	4.236	3.620	2.892	1.636	2.257	0.179	0.373	0.773	1.041	0.946	1.066	0.629	1.453	0.000	0.000	0.200	0.000
evm.model.Seg1019.3.1.57f48f75	6.349	24.705	2.001	3.488	0.788	3.104	11.634	3.019	2.560	2.576	0.973	0.714	0.000	0.000	20.138	17.879	1.102	10.558
evm.model.Seg10204.1	0.699	7.904	0.945	0.884	0.297	0.205	0.077	0.117	0.231	0.363	1.443	1.025	1.282	0.185	0.608	1.625	0.000	0.318
evm.model.Seg1026.7	8.041	3.668	3.613	3.361	0.989	0.462	0.026	0.213	0.261	0.093	0.145	0.336	0.720	0.103	0.223	0.091	0.377	0.072
evm.model.Seg10283.1	5.006	3.074	4.148	3.984	3.964	4.498	0.767	0.256	0.171	0.325	1.691	0.295	0.182	1.795	0.994	0.402	1.233	2.849
evm.model.Seg10284.1	7.715	1.214	4.335	4.613	2.000	2.428	0.793	1.163	1.014	0.688	0.359	1.526	1.447	0.000	0.000	0.475	0.200	0.000
evm.model.Seg1030.1	0.279	0.478	1.841	1.681	2.960	1.317	0.358	0.235	0.191	0.223	0.559	0.287	0.289	0.445	0.487	0.183	0.455	0.492
evm.model.Seg1031.5.2.57f48f75	0.574	0.000	0.556	0.375	0.126	0.419	0.153	0.032	0.000	0.028	0.124	0.057	0.000	0.151	0.000	0.000	0.000	0.101
evm.model.Seg1033.10	88.889	35.075	109.044	107.436	175.612	190.009	0.000	0.000	0.000	0.130	0.000	0.000	0.000	1.597	0.000	0.000	0.439	0.000
evm.model.Seg1037.2	0.194	1.266	0.855	4.419	2.127	4.797	2.352	0.107	0.060	0.139	0.117	0.312	0.199	0.000	0.183	0.000	0.447	0.231
evm.model.Seg104.5	1.676	1.795	1.452	6.334	4.589	7.482	0.639	0.128	0.191	0.874	1.809	0.681	0.165	0.260	0.791	0.804	0.123	0.752
evm.model.Seg1045.8	5.293	6.961	5.162	4.339	10.910	7.072	0.588	0.896	1.084	1.488	2.651	2.773	2.523	4.536	0.223	3.013	2.927	0.998
evm.model.Seg10468.1	0.388	0.788	0.139	0.080	0.022	0.000	0.000	0.000	0.010	0.019	0.076	0.016	0.033	0.000	0.324	0.000	0.000	0.000
evm.model.Seg1048.11	5.347	10.512	2.779	3.026	0.364	1.847	1.355	1.803	1.988	2.380	6.448	3.413	3.284	8.066	26.040	23.102	5.816	8.201
evm.model.Seg1053.2	3.795	0.542	4.266	0.971	1.279	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.155	0.000	0.448
evm.model.Seg10537.1	1.521	0.710	6.107	4.406	2.975	1.992	0.256	0.427	0.221	0.214	0.545	0.435	0.141	0.706	0.000	0.000	0.639	0.188
evm.model.Seg1054.5	1.568	1.976	3.682	6.367	1.443	1.283	3.401	0.405	0.432	0.484	0.635	0.418	0.331	0.672	2.596	1.826	0.223	1.577
evm.model.Seg1058.13	35.686	54.757	19.078	10.873	4.060	3.574	22.884	7.840	9.036	8.118	12.523	12.001	9.793	6.051	27.216	31.448	7.295	34.626
evm.model.Seg1058.18	6.582	8.226	7.420	6.716	2.774	4.575	0.307	0.213	0.371	4.649	9.789	2.543	0.116	0.000	2.515	2.319	0.146	0.000
evm.model.Seg1058.22	3.733	0.827	3.300	6.414	3.228	3.001	0.077	0.085	0.201	0.028	0.532	0.705	0.695	0.829	0.507	0.000	0.000	0.000
evm.model.Seg1063.5.1.57f48f75	15.685	17.228	15.028	9.039	1.844	4.464	8.310	1.984	2.048	1.878	4.694	3.938	3.763	13.719	8.071	4.712	3.667	7.709
evm.model.Seg1069.1	3.229	1.046	2.077	2.872	2.112	2.480	0.051	0.267	0.261	0.130	0.414	0.459	0.579	1.768	0.223	0.000	3.667	0.217
evm.model.Seg1069.2	11.487	13.805	7.900	2.477	43.126	27.132	40.603	25.355	12.379	12.832	4.977	5.685	6.609	12.787	2.069	1.863	44.489	39.601
evm.model.Seg1072.2	2.499	0.581	0.778	1.319	0.059	0.077	0.409	0.171	0.201	0.093	0.124	0.025	0.074	0.000	0.000	0.858	0.054	0.116
evm.model.Seg1074.2	1.133	1.304	0.604	0.609	0.580	0.368	0.051	0.053	0.100	0.028	0.090	0.025	0.033	0.000	0.000	0.000	0.000	0.000
evm.model.Seg1075.1	0.078	0.710	0.479	0.100	0.164	0.274	0.051	0.032	0.040	0.056	0.035	0.016	0.025	0.000	0.000	0.055	0.015	0.275
evm.model.Seg1076.10	0.830	0.387	1.188	1.299	0.290	0.864	0.077	0.064	0.030	0.000	0.138	0.033	0.000	0.000	0.000	0.000	0.000	0.130
evm.model.Seg1078.5.3.57f48f75	0.396	0.077	0.111	0.000	0.052	0.239	0.077	0.032	0.030	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.116	0.000
evm.model.Seg1078.6	2.693	166.905	2.758	3.174	0.565	1.351	0.537	1.195	1.084	0.753	0.980	0.304	0.165	0.000	0.000	0.000	0.377	0.579
evm.model.Seg1080.1	39.807	40.616	55.838	40.575	46.599	40.172	3.912	12.096	5.080	2.873	1.498	3.741	8.106	0.000	0.000	5.789	0.000	19.858
evm.model.Seg1080.11	7.653	11.197	3.036	3.375	1.316	0.248	0.000	0.064	0.000	0.065	0.055	0.033	0.132	0.322	0.000	0.292	0.000	0.231
evm.model.Seg1080.12	3.671	3.203	1.042	0.562	0.327	0.103	0.332	0.213	0.100	0.093	0.104	0.082	0.116	0.151	0.000	0.183	0.254	0.289
evm.model.Seg1080.3	2.600	0.839	5.322	2.765	1.562	3.677	0.614	0.725	0.733	0.911	1.388	0.632	0.414	0.637	0.142	0.694	0.601	0.362
evm.model.Seg1087.1	10.447	55.777	5.906	2.832	2.119	1.137	1.381	1.408	0.894	0.716	1.809	3.068	5.037	1.631	19.611	31.849	0.555	0.000
evm.model.Seg1091.23	146.547	54.821	96.712	163.498	118.126	59.163	85.475	19.478	20.030	11.038	7.773	16.464	15.864	8.593	0.000	8.145	9.491	0.824
evm.model.Seg1091.26	3.361	15.071	1.035	1.788	3.518	2.428	1.227	0.939	1.034	0.976	1.443	0.705	0.728	0.185	0.183	0.603	0.069	0.564
evm.model.Seg1092.8	45.543	75.484	24.636	14.040	7.942	4.840	4.270	9.590	8.363	9.894	18.060	17.727	20.744	0.774	38.613	21.714	5.678	10.934
