	early planula	late planula	polyp	early strobila	late strobila	ephyra	juvenile
evm.model.Seg1000.15	1.8095	2.5915	2.33	0.5613	1.3497	1.8427	1.1755
evm.model.Seg1000.22	11.8845	21.4145	5.9233	0.4653	0.2907	0.0	0.0
evm.model.Seg1000.23	5.7955	12.4165	3.471	0.823	0.431	0.0	0.0
evm.model.Seg1000.4	26.995	8.7435	8.696	8.278	5.9443	13.953	12.862
evm.model.Seg1001.4	4.0545	1.1405	0.305	0.851	0.4083	0.3363	0.238
evm.model.Seg1003.1.1.57f48f75	2.536	13.3415	4.7083	1.4887	2.8483	2.233	2.5615
evm.model.Seg1008.13	43.0145	9.389	11.829	6.193	10.303	31.5773	18.659
evm.model.Seg10085.1	2.693	9.475	5.684	0.0	0.244	3.5153	2.7235
evm.model.Seg10.1	72.099	15.697	1.7483	4.5663	4.0587	16.2367	4.9225
evm.model.Seg10119.1	1.8835	0.1665	0.8717	0.1633	0.3127	3.171	0.8665
evm.model.Seg1018.9	73.295	61.167	156.326	0.241	7.1933	232.6997	323.515
evm.model.Seg1019.1.1.57f48f75	0.9235	0.0	0.0	0.0	0.0	0.0	0.0
evm.model.Seg1019.13	13.1125	9.079	2.5853	1.922	1.8463	2.874	3.0805
evm.model.Seg1019.1.3.57f48f75	4.4815	3.256	1.3573	0.729	0.8803	0.4843	0.1
evm.model.Seg1019.3.1.57f48f75	15.527	2.7445	5.1753	2.7183	0.5623	12.6723	5.83
evm.model.Seg10204.1	4.3015	0.9145	0.193	0.237	1.25	0.806	0.159
evm.model.Seg1026.7	5.8545	3.487	0.4923	0.189	0.4003	0.139	0.2245
evm.model.Seg10283.1	4.04	4.066	3.0763	0.2507	0.7227	1.0637	2.041
evm.model.Seg10284.1	4.4645	4.474	1.7403	0.955	1.1107	0.1583	0.1
evm.model.Seg1030.1	0.3785	1.761	1.545	0.2163	0.3783	0.3717	0.4735
evm.model.Seg1031.5.2.57f48f75	0.287	0.4655	0.2327	0.02	0.0603	0.0503	0.0505
evm.model.Seg1033.10	61.982	108.24	121.8737	0.0433	0.0	0.5323	0.2195
evm.model.Seg1037.2	0.73	2.637	3.092	0.102	0.2093	0.061	0.339
evm.model.Seg104.5	1.7355	3.893	4.2367	0.3977	0.885	0.6183	0.4375
evm.model.Seg1045.8	6.127	4.7505	6.19	1.156	2.649	2.5907	1.9625
evm.model.Seg10468.1	0.588	0.1095	0.0073	0.0097	0.0417	0.108	0.0
evm.model.Seg1048.11	7.9295	2.9025	1.1887	2.057	4.3817	19.0693	7.0085
evm.model.Seg1053.2	2.1685	2.6185	0.4263	0.0	0.0	0.7183	0.224
evm.model.Seg10537.1	1.1155	5.2565	1.741	0.2873	0.3737	0.2353	0.4135
evm.model.Seg1054.5	1.772	5.0245	2.0423	0.4403	0.4613	1.698	0.9
evm.model.Seg1058.13	45.2215	14.9755	10.1727	8.3313	11.439	21.5717	20.9605
evm.model.Seg1058.18	7.404	7.068	2.552	1.7443	4.1493	1.6113	0.073
evm.model.Seg1058.22	2.28	4.857	2.102	0.1047	0.644	0.4453	0.0
evm.model.Seg1063.5.1.57f48f75	16.4565	12.0335	4.8727	1.97	4.1317	8.834	5.688
evm.model.Seg1069.1	2.1375	2.4745	1.5477	0.2193	0.484	0.6637	1.942
evm.model.Seg1069.2	12.646	5.1885	36.9537	16.8553	5.757	5.573	42.045
evm.model.Seg1072.2	1.54	1.0485	0.1817	0.155	0.0743	0.286	0.085
evm.model.Seg1074.2	1.2185	0.6065	0.333	0.0603	0.0493	0.0	0.0
evm.model.Seg1075.1	0.394	0.2895	0.163	0.0427	0.0253	0.0183	0.145
evm.model.Seg1076.10	0.6085	1.2435	0.4103	0.0313	0.057	0.0	0.065
evm.model.Seg1078.5.3.57f48f75	0.2365	0.0555	0.1227	0.0207	0.0	0.0	0.058
evm.model.Seg1078.6	84.799	2.966	0.8177	1.0107	0.483	0.0	0.478
evm.model.Seg1080.1	40.2115	48.2065	30.2277	6.683	4.4483	1.9297	9.929
evm.model.Seg1080.11	9.425	3.2055	0.5213	0.043	0.0733	0.2047	0.1155
evm.model.Seg1080.12	3.437	0.802	0.254	0.1353	0.1007	0.1113	0.2715
evm.model.Seg1080.3	1.7195	4.0435	1.951	0.7897	0.8113	0.491	0.4815
evm.model.Seg1087.1	33.112	4.369	1.5457	1.006	3.3047	17.697	0.2775
evm.model.Seg1091.23	100.684	130.105	87.588	16.8487	13.367	5.5793	5.1575
evm.model.Seg1091.26	9.216	1.4115	2.391	0.983	0.9587	0.3237	0.3165
evm.model.Seg1092.8	60.5135	19.338	5.684	9.2823	18.8437	20.367	8.306
evm.model.Seg109.3	0.1475	1.854	2.0273	0.0	0.0	0.9663	3.6525
evm.model.Seg1093.16	22.6435	12.27	4.296	4.8897	4.2513	2.57	3.839
evm.model.Seg1093.3	6.0685	0.9625	1.0797	0.4197	0.515	1.6307	0.7985
evm.model.Seg1095.2	1.965	3.1445	3.357	0.0953	1.2153	1.35	0.636
evm.model.Seg1095.8	10.5395	21.472	7.26	2.407	4.1903	3.4217	3.2905
evm.model.Seg10959.1	1.013	3.3915	2.9537	0.0	0.193	0.0	0.0
evm.model.Seg1097.4	0.3255	1.156	0.554	0.118	0.0253	0.0	0.0
evm.model.Seg1103.3	15.788	7.761	7.3427	1.8813	3.1283	2.3713	3.1825
evm.model.Seg1104.2	2.859	3.216	0.4697	0.6737	1.099	0.0	0.0
evm.model.Seg1109.5.1.57f48f75	0.91	0.7235	0.1787	0.0	0.0	0.0	0.094
evm.model.Seg1109.6	0.694	2.0605	0.9507	0.267	0.2863	0.355	0.47
evm.model.Seg11.2	104.849	32.4145	19.902	21.9977	28.546	78.8037	48.816
evm.model.Seg1120.1	3.3475	1.5695	0.3693	0.3403	0.1717	0.0	0.702
evm.model.Seg1120.1.1.57f48f75	3.0355	1.856	0.776	0.203	0.2	0.1703	0.9765
evm.model.Seg1120.2.1.57f48f75	0.7255	0.2665	0.13	0.0	0.0	0.0	0.0
evm.model.Seg11226.1	0.886	2.0825	0.9237	0.207	0.198	0.233	0.524
evm.model.Seg1123.13	10.5895	0.0	3.116	2.4063	0.0047	3.5173	1.8895
evm.model.Seg11264.1	3.78	7.032	5.197	0.9673	0.4087	0.0	0.3815
evm.model.Seg1127.1	27.5985	32.8115	2.001	3.75	7.099	3.3127	1.8115
evm.model.Seg1127.2	2.031	0.5595	0.0547	0.0	0.0523	0.9143	0.0
evm.model.Seg1127.5	25.2785	14.6455	1.1977	1.9787	1.5553	0.4307	0.4585
evm.model.Seg1130.3.1.57f48f75	1.117	1.075	0.1687	0.0997	0.0957	0.0	0.0
evm.model.Seg1132.1	9.4435	1.068	1.086	0.9247	1.148	8.011	2.64
evm.model.Seg1133.2	84.7635	36.061	13.3387	14.7543	17.586	43.1297	28.7225
evm.model.Seg11333.1	19.8135	21.982	8.6113	3.057	4.2517	2.041	2.734
evm.model.Seg1137.4.1.57f48f75	1.776	1.675	0.1927	0.166	0.1047	1.012	0.0
evm.model.Seg1140.5	16.642	9.4745	6.0743	1.0133	2.0373	6.3233	1.6085
evm.model.Seg1142.3	0.295	2.289	1.5133	0.0	0.0	0.0	0.0
