Planula_Early_1_AR012_RSEM	Planula_Early_2_AR002_RSEM	Planula_Late_1_AR019_RSEM	Planula_Late_3_AR002_RSEM	Polyp_1_RSEM	Polyp_2_AR005_RSEM	Polyp_3_AR006_RSEM	Strobila_Early_1_AR019_RSEM	Strobila_Early_2_AR006_RSEM	Strobila_Early_3_AR005_RSEM	Strobila_Late_1_AR015_RSEM	Strobila_Late_2_AR005_RSEM	Strobila_Late_3_AR019_RSEM	Ephyra_1_AR019_RSEM	Ephyra_2_AR012_RSEM	Ephyra_3_AR018_RSEM	Juvenile_1_AR002_RSEM	Juvenile_2_AR013_RSEM
evm.model.Seg1032.1	6.721	3.319	8.038	5.537	4.477	6.370	11.071	2.197	1.556	1.916	7.380	11.353	31.332	6.866	7.544	16.345	3.921	9.691
evm.model.Seg1080.7.1.57f48f75	0.869	0.000	4.155	4.104	4.983	3.976	0.000	0.885	0.361	0.521	1.215	2.420	1.654	3.879	2.109	2.995	0.000	1.967
evm.model.Seg1104.2.1.57f48f75	0.000	0.000	0.000	0.000	0.000	0.120	0.000	0.000	0.000	0.000	0.994	0.000	0.000	0.891	1.217	1.388	0.455	0.000
evm.model.Seg1120.6	2.522	0.620	7.378	11.804	10.940	8.055	1.278	4.501	5.773	5.802	17.521	19.679	17.494	20.256	1.541	3.488	10.076	2.039
evm.model.Seg1173.3	0.000	0.026	0.486	0.857	3.614	0.453	1.483	1.397	1.054	0.735	1.208	0.935	1.373	0.528	2.332	1.059	0.316	0.087
evm.model.Seg1208.4	1.381	4.068	1.542	2.745	6.284	1.625	5.395	2.795	3.544	2.920	8.153	8.277	17.502	9.827	483.499	364.404	3.405	5.496
evm.model.Seg1224.3.1.57f48f75	0.000	0.000	0.000	0.656	0.454	0.419	0.128	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.162	1.151	0.000	0.000
evm.model.Seg1304.3	0.000	0.000	1.403	1.152	0.402	1.394	0.000	0.341	0.713	0.335	1.643	1.321	0.546	3.837	0.000	0.000	2.750	0.000
evm.model.Seg1389.16.3.57f48f76	0.000	0.000	0.000	0.000	0.000	0.000	0.563	0.000	0.000	0.000	0.000	0.000	0.000	0.000	8.173	2.411	0.000	0.260
evm.model.Seg14060.1	0.194	0.000	1.000	2.745	1.034	4.737	0.767	0.651	0.271	0.391	2.306	4.011	3.284	4.742	0.000	0.603	0.462	0.781
evm.model.Seg1459.7.6.57f48f76	0.000	0.000	0.132	0.100	0.000	0.120	0.000	0.000	0.000	0.000	0.228	0.049	0.149	0.219	0.000	0.000	0.000	0.000
evm.model.Seg1477.13	0.629	0.168	1.042	1.701	1.770	2.976	1.125	0.171	0.020	0.195	1.905	1.354	1.505	3.872	0.385	1.077	1.364	0.868
evm.model.Seg1492.4	3.687	4.765	41.485	9.862	3.302	4.130	13.449	3.435	3.474	4.054	2.644	6.817	6.873	0.733	18.374	22.791	1.379	4.310
evm.model.Seg1509.14	0.613	0.000	3.224	5.089	1.763	3.985	0.000	0.000	0.060	0.000	2.582	3.052	2.366	10.978	0.000	0.000	0.955	0.000
evm.model.Seg1556.24	0.466	0.387	0.723	0.670	0.000	0.000	0.000	0.000	0.090	0.000	0.000	0.090	0.513	2.762	0.000	0.000	0.000	0.000
evm.model.Seg1641.6	0.000	0.181	0.104	1.259	0.290	0.274	0.716	0.107	0.131	0.102	0.608	0.295	0.141	0.706	3.569	3.050	0.871	1.244
evm.model.Seg1653.10	0.675	1.756	0.945	3.301	6.314	3.891	0.844	0.501	0.783	1.032	5.309	5.455	5.955	9.621	0.000	1.114	4.145	0.246
evm.model.Seg1670.17.1.57f48f77	0.000	1.279	0.000	0.000	0.000	0.000	0.000	0.267	1.687	0.000	0.000	0.000	0.000	0.000	55.182	42.734	0.000	0.000
evm.model.Seg1670.18.2.57f48f77	0.000	0.646	1.348	0.897	1.748	1.018	0.000	0.000	0.201	0.000	0.904	0.550	0.000	0.000	0.000	4.547	0.000	0.000
evm.model.Seg169.19	0.365	0.710	3.807	4.975	0.528	0.111	7.185	0.597	0.502	0.400	1.843	3.298	2.589	1.233	9.937	7.360	1.826	2.198
evm.model.Seg1694.8.2.57f48f77	0.000	0.039	0.000	2.584	2.811	2.463	0.000	1.045	1.355	0.948	1.477	1.222	0.389	0.000	5.861	0.000	0.000	0.940
evm.model.Seg1718.3.2.57f48f77	0.373	0.000	0.493	1.065	2.231	2.240	0.000	0.000	0.000	0.000	11.170	0.000	0.000	4.447	0.000	0.000	2.196	1.475
evm.model.Seg1764.4.1.57f48f78	0.000	0.000	0.493	0.716	0.171	0.599	0.920	0.288	0.231	0.279	0.000	0.000	0.538	2.577	0.000	0.000	0.000	0.940
evm.model.Seg1797.2	0.419	0.297	2.237	5.082	3.451	6.208	0.358	1.227	2.028	2.306	11.909	8.408	5.045	7.031	1.886	4.949	1.664	2.415
