Planula_Early_1_AR012_RSEM	Planula_Early_2_AR002_RSEM	Planula_Late_1_AR019_RSEM	Planula_Late_3_AR002_RSEM	Polyp_1_RSEM	Polyp_2_AR005_RSEM	Polyp_3_AR006_RSEM	Strobila_Early_1_AR019_RSEM	Strobila_Early_2_AR006_RSEM	Strobila_Early_3_AR005_RSEM	Strobila_Late_1_AR015_RSEM	Strobila_Late_2_AR005_RSEM	Strobila_Late_3_AR019_RSEM	Ephyra_1_AR019_RSEM	Ephyra_2_AR012_RSEM	Ephyra_3_AR018_RSEM	Juvenile_1_AR002_RSEM	Juvenile_2_AR013_RSEM
evm.model.Seg1005.4.1.57f48f75	0.660	1.227	0.549	0.737	0.290	0.257	0.972	2.912	2.912	3.003	2.147	3.084	3.019	3.940	0.183	0.000	3.644	0.116
evm.model.Seg1006.4	0.000	2.957	0.000	0.000	2.253	1.043	0.000	4.917	7.259	10.470	23.631	14.306	12.208	10.711	0.000	14.336	9.992	0.000
evm.model.Seg1010.28	0.000	0.555	0.535	0.054	2.186	1.308	0.102	1.333	2.098	2.483	8.422	6.751	6.609	2.117	1.055	0.694	3.690	1.360
evm.model.Seg10103.1	30.959	6.612	47.279	58.432	57.985	209.368	12.528	114.711	104.176	115.406	105.466	110.251	90.836	59.453	0.000	17.331	5.316	0.000
evm.model.Seg1011.2	0.241	0.000	0.452	0.000	0.186	1.300	1.227	0.672	1.446	1.618	1.312	1.296	1.621	0.000	0.000	0.858	0.000	0.000
evm.model.Seg1019.6.1.57f48f75	0.000	0.000	0.000	0.000	0.223	0.000	0.000	0.715	1.114	1.711	2.465	0.517	1.969	0.000	0.000	2.611	0.000	0.000
evm.model.Seg1021.3	1.979	2.337	0.743	0.937	3.875	3.053	8.207	3.040	3.012	3.496	7.801	7.949	9.239	0.726	1.521	4.949	0.624	5.033
evm.model.Seg10242.1	3.392	4.856	4.433	4.319	15.000	11.740	4.986	23.894	26.616	27.059	23.120	22.493	20.959	22.045	2.190	2.045	33.804	1.417
evm.model.Seg1025.5	0.078	0.103	0.167	0.556	2.967	4.122	0.639	3.595	4.799	3.022	6.766	6.062	5.327	6.373	0.568	0.000	11.363	0.405
evm.model.Seg1026.11	0.000	1.201	0.000	0.000	0.067	0.000	0.000	1.461	2.189	1.981	3.383	0.935	0.132	0.000	0.081	0.219	0.000	0.000
evm.model.Seg1026.5	6.387	11.984	3.585	3.006	12.434	7.978	1.969	9.376	9.648	11.224	14.311	13.740	11.381	5.736	1.217	3.013	6.987	4.151
evm.model.Seg1044.4	0.000	0.000	0.000	0.000	3.659	1.650	0.000	0.000	0.191	0.186	2.402	0.640	1.795	0.000	0.000	0.000	2.434	0.000
evm.model.Seg1045.9	3.469	20.663	3.432	2.270	8.047	3.053	2.097	13.654	15.642	11.791	6.510	10.976	15.310	11.821	0.000	4.894	11.710	2.227
evm.model.Seg1048.7	3.694	15.846	4.016	2.966	6.195	1.180	7.696	17.558	18.253	20.541	81.807	90.292	76.551	21.140	48.571	56.138	7.141	15.548
evm.model.Seg1054.8	0.000	0.194	0.000	0.000	1.963	0.684	0.665	0.640	0.361	0.484	2.188	2.805	1.811	4.667	1.014	0.822	1.279	0.333
evm.model.Seg1055.7	0.916	0.542	0.820	1.031	5.726	4.412	0.869	2.293	2.510	2.046	5.633	6.423	4.996	12.019	0.588	1.589	10.916	0.839
evm.model.Seg1058.6	0.636	11.584	3.245	1.573	11.505	6.704	22.986	23.552	22.811	19.444	22.644	33.272	26.377	56.006	16.528	13.185	27.764	15.042
evm.model.Seg10596.1	0.295	2.234	0.063	0.000	0.149	0.000	0.000	3.733	4.187	2.743	2.257	3.027	3.631	1.514	0.000	0.603	0.308	0.665
evm.model.Seg1063.3	0.000	0.000	0.000	0.127	0.550	0.000	0.000	2.475	4.046	4.835	11.032	7.383	5.997	5.324	2.352	1.972	1.988	1.953
