Planula_Early_1_AR012_RSEM	Planula_Early_2_AR002_RSEM	Planula_Late_1_AR019_RSEM	Planula_Late_3_AR002_RSEM	Polyp_1_RSEM	Polyp_2_AR005_RSEM	Polyp_3_AR006_RSEM	Strobila_Early_1_AR019_RSEM	Strobila_Early_2_AR006_RSEM	Strobila_Early_3_AR005_RSEM	Strobila_Late_1_AR015_RSEM	Strobila_Late_2_AR005_RSEM	Strobila_Late_3_AR019_RSEM	Ephyra_1_AR019_RSEM	Ephyra_2_AR012_RSEM	Ephyra_3_AR018_RSEM	Juvenile_1_AR002_RSEM	Juvenile_2_AR013_RSEM
evm.model.Seg1015.5	0.000	0.181	2.786	3.354	0.357	0.855	0.000	0.427	0.432	0.307	0.000	1.952	1.001	0.884	0.000	0.000	0.000	0.159
evm.model.Seg1019.14	0.210	0.581	8.824	33.384	184.886	24.541	30.171	7.296	3.695	2.780	4.446	9.663	5.426	0.164	1.460	0.365	0.054	0.521
evm.model.Seg1019.6.3.57f48f75	0.442	0.336	1.334	0.556	0.372	0.539	0.128	0.480	0.050	0.112	0.394	0.295	0.438	0.528	0.000	0.000	0.000	0.000
evm.model.Seg1022.1	81.237	17.473	74.382	116.575	42.055	75.196	5.702	17.600	16.385	25.878	36.582	31.582	34.384	51.038	17.238	1.753	32.263	23.547
evm.model.Seg1022.2	0.706	0.000	2.897	2.638	0.052	0.034	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
evm.model.Seg1027.10	90.946	41.429	932.780	640.492	93.629	8.824	338.934	97.271	46.817	47.619	25.170	38.391	51.679	0.000	15.129	27.667	0.000	7.058
evm.model.Seg1039.3	1.940	0.542	3.175	5.323	0.729	2.206	0.000	0.277	0.643	0.418	1.181	0.730	0.926	1.323	1.440	0.000	2.712	0.463
evm.model.Seg10.4	11.052	4.275	18.411	17.957	9.980	9.671	2.199	3.893	3.002	4.826	5.661	5.824	4.830	3.036	2.008	4.328	4.576	2.575
evm.model.Seg1040.5	0.054	0.039	0.132	0.141	0.000	0.000	0.000	0.000	0.000	0.000	0.035	0.000	0.000	0.000	0.000	0.073	0.000	0.000
evm.model.Seg1048.6	0.776	2.699	9.150	8.584	0.930	2.044	18.281	4.331	2.610	0.642	0.352	0.599	0.596	0.000	0.649	1.498	0.069	0.029
evm.model.Seg1062.1	1.219	0.323	2.084	2.725	0.885	0.983	0.205	0.085	0.131	0.130	0.497	0.435	0.199	0.562	0.081	0.310	0.316	0.202
evm.model.Seg1064.6	2.584	2.983	13.076	11.677	3.994	1.514	0.179	2.389	2.580	2.873	2.644	4.175	3.333	1.651	0.000	0.767	2.011	0.622
