	early planula	late planula	polyp	early strobila	late strobila	ephyra	juvenile
evm.model.Seg1006.4.1.57f48f75	0.737	1.4715	4.3403	7.632	4.1157	2.988	1.779
evm.model.Seg1010.11	0.477	0.7625	6.8413	9.277	5.087	1.923	1.3765
evm.model.Seg1018.1	7.279	7.9025	9.2173	12.3123	0.0227	12.223	5.301
evm.model.Seg1018.2	5.525	5.864	9.278	7.4193	0.0	8.0723	4.2985
evm.model.Seg1018.3	3.0115	8.428	11.8343	7.9243	0.0	9.5383	3.1275
evm.model.Seg1019.8	435.436	510.129	5694.071	1022.001	760.265	187.2853	212.583
evm.model.Seg102.10	4.6665	7.665	7.7257	7.178	0.092	6.269	3.4395
evm.model.Seg1031.2	1.455	1.028	5.6663	6.0803	6.956	1.43	3.415
evm.model.Seg1039.9	0.4665	2.757	5.7257	4.2593	2.648	1.2563	2.082
evm.model.Seg1044.3	2.632	3.3165	49.9463	21.5077	7.177	5.5193	0.617
evm.model.Seg1046.1	8.0235	5.2555	87.1067	57.7423	21.5603	24.0067	28.55
evm.model.Seg1060.1	1.7575	1.5775	4.409	4.725	0.504	6.2083	2.719
evm.model.Seg1063.4.3.57f48f75	0.0	0.2605	2.1337	0.0507	0.1103	0.498	0.046
evm.model.Seg1074.5.2.57f48f75	0.0775	0.0	0.6793	0.26	0.249	0.0	0.159
evm.model.Seg1076.8.1.57f48f75	0.5185	0.53	0.928	1.1113	0.812	0.0	0.6345
evm.model.Seg10967.1	12.697	12.7725	123.8803	13.4703	10.7843	9.8603	32.0315
evm.model.Seg1098.2	0.0	0.1505	0.9547	0.065	0.0	0.0	0.0
evm.model.Seg1098.2.1.57f48f75	0.0	0.1575	0.6517	0.0123	0.0	0.0	0.0
evm.model.Seg1100.2	14.222	2.095	51.3943	2.331	1.2603	10.787	12.9585
evm.model.Seg1103.1	4.535	1.219	112.6927	54.6847	9.6747	3.7653	8.1205
evm.model.Seg1104.5	4.963	2.499	10.276	11.5357	5.91	1.005	4.258
evm.model.Seg110.6	3.0595	0.595	31.9837	12.854	6.7787	8.1307	4.9655
evm.model.Seg1108.6	1.858	0.7725	3.15	4.1227	1.836	1.9783	2.3365
evm.model.Seg1112.3	10.863	7.7975	62.0323	57.8757	44.1637	10.172	4.6175
evm.model.Seg1115.1	5.4925	3.292	61.8237	14.8417	14.1523	9.7747	6.0165
evm.model.Seg1121.12	0.572	0.052	86.837	46.0643	16.125	5.4033	1.2875
evm.model.Seg1123.8	32.3435	3.226	88.6723	72.794	18.4823	25.8673	14.4665
evm.model.Seg1153.6	2.451	4.6435	19.8747	22.7597	4.2227	9.911	37.6
evm.model.Seg116.2	19.41	11.4935	58.9773	42.186	24.8143	43.9993	24.239
evm.model.Seg1163.7	4.8155	9.5995	12.845	6.7513	0.0	13.8903	11.8575
evm.model.Seg1164.5	2.3965	1.9765	27.305	15.4153	8.0207	7.2803	8.934
evm.model.Seg1173.5	2.6855	0.7485	14.1357	8.1687	5.565	4.9353	4.7415
evm.model.Seg1190.1.1.57f48f75	0.632	0.2155	2.465	1.9247	1.212	1.6093	0.3155
evm.model.Seg12047.1	36.757	24.325	539.5657	276.297	162.2227	140.302	94.608
evm.model.Seg1208.2	219.8985	111.511	425.4443	421.3657	190.2573	145.098	181.448
evm.model.Seg1209.1	0.0	2.026	37.3087	0.0507	1.6797	6.1203	0.289
evm.model.Seg1209.1.1.57f48f75	0.155	0.9365	28.5017	0.0533	0.4273	1.3203	0.3275
evm.model.Seg1211.3	0.0195	0.104	1.0933	1.2827	0.4417	0.0867	0.5815
evm.model.Seg1229.2	0.725	0.809	1.1927	1.0443	0.2007	1.8777	0.623
