	early planula	late planula	polyp	early strobila	late strobila	ephyra	juvenile
evm.model.Seg101.4	0.0	0.0	1.9827	0.0	6.007	1.021	0.524
evm.model.Seg10491.2	29.5015	17.8625	72.4497	29.9243	12.3583	2.457	0.7065
evm.model.Seg1053.11	13.6635	23.714	11.2403	8.2213	7.2563	2.267	0.158
evm.model.Seg1056.8	1.7135	1.3155	3.98	3.461	0.63	0.209	0.343
evm.model.Seg1063.4	5.1015	4.082	2.156	2.7907	4.3987	0.0457	1.852
evm.model.Seg1064.12	18.8295	5.062	1.8273	13.9333	24.8317	1.455	1.6055
evm.model.Seg1071.3	2.4035	3.3215	7.5533	5.0697	1.3407	1.43	0.185
evm.model.Seg1074.5.1.57f48f75	2.4835	2.5795	2.6557	1.9427	2.455	0.0	0.362
evm.model.Seg1078.5.2.57f48f75	0.7805	0.1675	0.3013	0.305	0.7463	0.0	0.2485
evm.model.Seg1085.6.1.57f48f75	0.256	0.6455	0.5777	1.368	1.132	0.0	1.006
evm.model.Seg10934.1	30.997	52.7655	35.2253	11.08	15.673	3.542	2.573
evm.model.Seg1108.5	3.3265	7.2505	4.0907	10.4987	7.308	1.4317	0.8245
evm.model.Seg11224.2	3.289	2.5595	7.212	5.0203	7.5133	0.7243	0.0
evm.model.Seg1123.13.1.57f48f75	3.613	5.423	2.7233	1.112	3.756	0.0	0.0
evm.model.Seg1149.2	84.0775	98.523	121.6893	127.5893	81.1893	36.4997	15.8745
evm.model.Seg1159.14	6.049	5.2205	2.0643	11.888	2.375	2.362	1.537
evm.model.Seg1175.1	1.9435	3.8235	1.659	2.013	2.339	0.0	1.741
evm.model.Seg1184.2.15.57f48f75	0.1915	0.024	0.0237	0.0133	0.286	0.0	0.0
evm.model.Seg1184.2.17.57f48f75	0.327	0.3325	0.054	0.02	0.4963	0.0	0.0615
evm.model.Seg1184.2.2.57f48f75	0.4965	0.755	0.1913	0.1627	0.787	0.0	0.393
evm.model.Seg1184.2.5.57f48f75	0.2675	0.092	0.045	0.0563	0.4227	0.0	0.0
evm.model.Seg1184.2.6.57f48f75	0.345	0.601	0.0957	0.086	0.658	0.3287	0.177
evm.model.Seg1184.2.8.57f48f75	0.523	0.4	0.1407	0.0603	0.6257	0.0	0.185
evm.model.Seg1189.6	19.356	27.6985	32.361	16.7407	4.3587	1.98	5.647
evm.model.Seg1210.4.1.57f48f75	0.9265	0.3265	0.0347	0.361	1.0457	0.0	0.177
evm.model.Seg1254.5	20.8385	23.877	16.691	20.9037	7.483	1.3447	0.3015
evm.model.Seg1278.11	6.588	7.941	3.5013	4.6153	5.437	0.0	3.8895
evm.model.Seg1297.6	23.531	17.1005	1.4793	1.157	11.566	10.3457	11.8905
evm.model.Seg1299.4	3.2675	14.253	14.111	11.463	7.4073	0.96	0.0
evm.model.Seg1303.4	22.7295	27.3715	24.182	9.3003	7.904	1.989	0.3715
evm.model.Seg1303.6	22.488	31.054	17.892	10.6193	8.2137	3.151	0.201
evm.model.Seg1308.5	6.1655	7.0135	10.3653	4.0997	2.3843	0.0973	0.162
evm.model.Seg1332.2.2.57f48f76	0.3745	0.4415	0.188	0.0143	0.349	0.0	0.0
evm.model.Seg1348.9.1.57f48f76	4.6165	1.088	1.3677	1.4883	2.3477	0.836	0.0
evm.model.Seg1359.23	1.416	3.052	0.449	1.8427	2.8223	0.0	0.0
evm.model.Seg1359.8	46.744	16.3565	2.85	6.47	23.327	31.8353	25.9165
evm.model.Seg1363.2	0.873	2.0145	1.22	1.2433	0.9323	0.0	0.804
evm.model.Seg1382.2	301.48	214.543	187.2673	46.381	40.0437	13.8487	6.0245
evm.model.Seg1389.17	0.181	0.153	0.062	0.0	0.67	0.0	0.0
evm.model.Seg1389.17.3.57f48f76	0.1875	0.198	0.0197	0.0	0.3653	0.0	0.0
evm.model.Seg1393.10.2.57f48f76	7.24	8.087	23.506	3.5797	3.511	0.4463	0.0725
