	early planula	late planula	polyp	early strobila	late strobila	ephyra	juvenile
evm.model.Seg1015.5	0.0905	3.07	0.404	0.3887	0.9843	0.2947	0.0795
evm.model.Seg1019.14	0.3955	21.104	79.866	4.5903	6.5117	0.663	0.2875
evm.model.Seg1019.6.3.57f48f75	0.389	0.945	0.3463	0.214	0.3757	0.176	0.0
evm.model.Seg1022.1	49.355	95.4785	40.9843	19.9543	34.1827	23.343	27.905
evm.model.Seg1022.2	0.353	2.7675	0.0287	0.0	0.0	0.0	0.0
evm.model.Seg1027.10	66.1875	786.636	147.129	63.9023	38.4133	14.2653	3.529
evm.model.Seg1039.3	1.241	4.249	0.9783	0.446	0.9457	0.921	1.5875
evm.model.Seg10.4	7.6635	18.184	7.2833	3.907	5.4383	3.124	3.5755
evm.model.Seg1040.5	0.0465	0.1365	0.0	0.0	0.0117	0.0243	0.0
evm.model.Seg1048.6	1.7375	8.867	7.085	2.5277	0.5157	0.7157	0.049
evm.model.Seg1062.1	0.771	2.4045	0.691	0.1153	0.377	0.3177	0.259
evm.model.Seg1064.6	2.7835	12.3765	1.8957	2.614	3.384	0.806	1.3165
evm.model.Seg1077.18	0.3415	2.029	0.27	0.03	0.0383	0.0	0.0
evm.model.Seg1080.13	0.296	1.8475	0.357	0.1757	0.085	0.0	0.029
evm.model.Seg1080.9	29.18	45.8325	11.1573	8.016	11.4563	9.569	10.9005
evm.model.Seg1096.3	2.5275	7.336	2.0017	0.907	1.2197	0.1803	0.541
evm.model.Seg1098.2.3.57f48f75	1.0035	2.724	1.1853	0.6457	0.9283	0.0	1.532
evm.model.Seg1103.2	0.828	3.7835	11.0637	3.9763	7.9797	2.0113	1.7525
evm.model.Seg1115.2	5.269	20.4615	2.072	2.1247	1.261	2.4183	2.8365
evm.model.Seg1121.10	0.2715	10.4175	2.627	1.3923	1.7573	0.6167	0.3245
evm.model.Seg1121.8	0.478	5.2985	1.916	0.7183	0.81	0.334	0.401
evm.model.Seg1121.9	0.3155	5.3985	1.928	0.7937	1.088	0.3613	0.7345
evm.model.Seg1135.2	8.3785	34.1715	10.9643	5.9153	21.6333	7.7473	3.61
evm.model.Seg1159.16	21.833	127.6125	20.0353	43.7707	28.802	27.4497	70.5955
evm.model.Seg1175.2	7.1555	18.06	7.4957	8.1767	2.1577	4.6383	5.874
evm.model.Seg1182.2	1.1655	1.7855	1.1897	0.0123	1.3053	0.0	0.5565
evm.model.Seg11841.1	0.3065	2.671	0.3883	0.295	0.235	0.0	0.5565
evm.model.Seg1184.2.1.57f48f75	0.4305	3.521	0.7113	1.537	1.4867	0.0	0.6935
evm.model.Seg1190.15	0.1395	1.909	0.272	0.344	0.0387	0.4363	1.485
evm.model.Seg119.19	0.8455	3.279	0.6637	0.5807	1.2787	0.772	0.755
evm.model.Seg1195.7.1.57f48f75	0.1205	1.719	0.08	0.0033	0.0277	0.5137	0.205
evm.model.Seg1198.5	1.3305	13.4855	1.5727	1.3173	1.805	2.0677	3.9575
evm.model.Seg1205.1	1.9915	5.8385	2.5493	1.1047	2.3547	2.0347	1.0735
evm.model.Seg1208.7	3.2725	4.8705	2.0353	1.8373	1.1287	1.748	2.795
evm.model.Seg1208.9	1.0395	2.1745	0.5387	0.42	0.7587	0.29	0.3445
evm.model.Seg1221.2	1.152	3.8695	0.7973	0.2227	0.7577	0.3043	0.0925
evm.model.Seg1221.2.1.57f48f75	0.3335	3.899	2.262	0.7033	1.268	0.0743	0.094
evm.model.Seg1230.1	0.5195	3.274	3.025	0.475	4.0333	1.668	1.2285
evm.model.Seg1233.5	2.124	5.64	4.1473	0.7327	0.535	0.137	1.1395
evm.model.Seg1236.4	3.063	9.8215	1.4523	1.1377	0.9507	2.116	1.1075
evm.model.Seg1238.1	0.372	1.425	0.4623	0.2493	0.459	0.3203	0.5165
evm.model.Seg1238.1.1.57f48f76	0.372	1.425	0.4623	0.2493	0.459	0.3203	0.5165
evm.model.Seg1250.1	0.607	4.2295	0.812	0.4633	3.948	0.0	0.0
evm.model.Seg1250.1.1.57f48f76	1.975	9.62	2.2447	1.6367	3.417	2.5413	3.252
evm.model.Seg1250.1.2.57f48f76	0.4765	4.888	3.476	1.1463	3.5133	1.731	0.543
evm.model.Seg12536.1	0.2465	1.2705	0.2513	0.1883	0.115	0.1257	0.1975
evm.model.Seg1263.2	1.8535	4.3795	0.8187	0.6987	1.4143	1.3227	0.972
evm.model.Seg1263.6	0.0	1.971	0.1103	0.0143	1.0327	0.0	0.15
evm.model.Seg1276.4	0.0	1.856	0.8227	0.2143	1.2803	0.0	0.0
evm.model.Seg1278.10.1.57f48f76	0.0235	0.609	0.7107	0.657	0.7283	0.0	0.1385
evm.model.Seg1279.3	12.771	51.27	9.756	21.97	9.1253	33.9503	32.643
