Planula_Early_1_AR012_RSEM	Planula_Early_2_AR002_RSEM	Planula_Late_1_AR019_RSEM	Planula_Late_3_AR002_RSEM	Polyp_1_RSEM	Polyp_2_AR005_RSEM	Polyp_3_AR006_RSEM	Strobila_Early_1_AR019_RSEM	Strobila_Early_2_AR006_RSEM	Strobila_Early_3_AR005_RSEM	Strobila_Late_1_AR015_RSEM	Strobila_Late_2_AR005_RSEM	Strobila_Late_3_AR019_RSEM	Ephyra_1_AR019_RSEM	Ephyra_2_AR012_RSEM	Ephyra_3_AR018_RSEM	Juvenile_1_AR002_RSEM	Juvenile_2_AR013_RSEM
evm.model.Seg1006.4.1.57f48f75	0.854	0.620	0.292	2.651	4.417	4.104	4.500	8.341	10.371	4.184	5.461	5.455	1.431	0.000	8.964	0.000	0.000	3.558
evm.model.Seg1010.11	0.489	0.465	0.681	0.844	5.652	7.969	6.903	11.542	8.785	7.504	2.906	7.227	5.128	4.838	0.000	0.931	1.379	1.374
evm.model.Seg1018.1	10.400	4.158	6.003	9.802	10.969	14.152	2.531	12.907	15.261	8.769	0.035	0.016	0.017	25.135	6.713	4.821	9.922	0.680
evm.model.Seg1018.2	9.655	1.395	5.079	6.649	11.341	16.033	0.460	8.352	8.243	5.663	0.000	0.000	0.000	23.162	1.055	0.000	8.597	0.000
evm.model.Seg1018.3	6.023	0.000	9.484	7.372	14.502	21.001	0.000	5.696	10.703	7.374	0.000	0.000	0.000	23.504	5.111	0.000	6.255	0.000
evm.model.Seg1019.8	581.889	288.983	484.551	535.707	3182.480	3759.539	10140.194	1234.774	1099.867	731.362	160.142	1222.124	898.529	242.973	69.987	248.896	363.421	61.745
evm.model.Seg102.10	8.235	1.098	4.363	10.967	7.950	14.690	0.537	7.861	8.484	5.189	0.235	0.000	0.041	17.878	0.527	0.402	6.879	0.000
evm.model.Seg1031.2	2.678	0.232	0.389	1.667	9.973	3.574	3.452	5.707	6.285	6.249	4.743	8.507	7.618	4.290	0.000	0.000	3.590	3.240
evm.model.Seg1039.9	0.675	0.258	2.876	2.638	8.597	7.046	1.534	4.128	4.428	4.222	2.361	2.920	2.663	2.618	0.000	1.151	3.875	0.289
evm.model.Seg1044.3	0.667	4.597	1.390	5.243	41.341	55.546	52.952	25.088	20.903	18.532	5.557	7.645	8.329	0.528	7.118	8.912	0.424	0.810
evm.model.Seg1046.1	8.118	7.929	5.329	5.182	50.347	108.955	102.018	74.273	54.106	44.848	18.971	25.553	20.157	31.721	18.110	22.189	27.001	30.099
evm.model.Seg1060.1	1.242	2.273	1.146	2.009	1.993	0.316	10.918	6.155	4.598	3.422	0.918	0.164	0.430	7.243	6.104	5.278	2.473	2.965
evm.model.Seg1063.4.3.57f48f75	0.000	0.000	0.521	0.000	2.201	2.052	2.148	0.096	0.000	0.056	0.331	0.000	0.000	1.494	0.000	0.000	0.092	0.000
evm.model.Seg1074.5.2.57f48f75	0.155	0.000	0.000	0.000	0.825	0.599	0.614	0.245	0.070	0.465	0.138	0.410	0.199	0.000	0.000	0.000	0.000	0.318
evm.model.Seg1076.8.1.57f48f75	0.365	0.672	0.250	0.810	1.339	1.240	0.205	0.939	0.954	1.441	1.111	0.771	0.554	0.000	0.000	0.000	0.994	0.275
evm.model.Seg10967.1	20.280	5.114	12.214	13.331	39.668	140.952	191.021	8.992	6.777	24.642	13.013	13.625	5.715	22.353	3.265	3.963	61.329	2.734
evm.model.Seg1098.2	0.000	0.000	0.000	0.301	2.112	0.752	0.000	0.000	0.000	0.195	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
evm.model.Seg1098.2.1.57f48f75	0.000	0.000	0.000	0.315	1.279	0.676	0.000	0.000	0.000	0.037	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
