	early planula	late planula	polyp	early strobila	late strobila	ephyra	juvenile
evm.model.Seg1005.3	0.8135	0.0	0.1017	1.129	0.9607	0.8093	0.0
evm.model.Seg1010.4	1.4765	0.432	0.8287	1.9503	2.0033	1.1703	1.1685
evm.model.Seg1011.2.1.57f48f75	0.1745	0.358	0.1983	12.379	0.0	0.3003	0.143
evm.model.Seg1011.2.2.57f48f75	0.0	0.0	0.4423	5.5813	0.7977	0.0	0.0
evm.model.Seg1012.6	5.8165	2.025	4.9593	7.387	4.8497	2.412	7.0095
evm.model.Seg1025.3.1.57f48f75	2.26	0.0	0.0	2.0313	0.0	1.528	2.138
evm.model.Seg1027.15	6.425	0.652	2.8027	11.595	9.4953	5.5767	6.984
evm.model.Seg1044.8	23.6715	4.4525	57.5137	35.9247	28.1667	68.1387	31.277
evm.model.Seg1056.4	4.9825	1.2025	5.838	6.2967	5.77	5.3003	6.57
evm.model.Seg1071.4	11.3775	4.961	4.7167	28.521	14.746	16.135	12.433
evm.model.Seg1085.12	21.3385	3.7655	11.9863	18.0917	16.9767	18.857	17.664
evm.model.Seg1087.4.1.57f48f75	20.942	0.052	7.1577	23.1293	20.0683	28.509	28.1505
evm.model.Seg1089.1	3.652	0.038	3.87	5.1937	2.116	2.312	2.5555
evm.model.Seg1091.18	25.2095	4.678	1.6687	10.8797	1.8427	2.299	1.8505
evm.model.Seg1095.17	119.805	54.1105	61.1847	75.8367	40.5937	74.2873	0.0
evm.model.Seg1121.1	1.9015	0.0555	0.444	2.59	1.9467	0.2983	1.4755
evm.model.Seg1125.1	21.4425	0.0	1.602	9.6917	2.165	0.568	1.866
evm.model.Seg1125.2	3.067	0.0	0.0023	2.2963	0.0	0.1157	0.0
evm.model.Seg1133.4	122.8565	26.7735	77.1577	140.9653	120.5433	143.4207	210.7755
evm.model.Seg114.5	15.026	5.283	7.6853	23.9367	16.242	12.172	14.466
evm.model.Seg115.5	21.009	0.9845	5.793	12.1433	13.8213	6.58	11.2015
evm.model.Seg1157.2	4.3215	0.014	5.377	9.1773	9.2273	5.0367	2.996
evm.model.Seg1174.1	2.7095	0.227	0.723	1.6463	0.9217	0.179	0.651
evm.model.Seg1186.7	26.8205	21.7245	22.022	33.6677	38.627	8.9463	1.7375
evm.model.Seg119.4	1.2425	0.921	1.5133	2.715	0.2163	0.2603	0.4005
evm.model.Seg1201.2	3.4805	0.2385	1.6603	4.766	5.5487	2.013	3.6595
evm.model.Seg1234.12	0.7115	0.0315	0.2117	0.722	0.525	0.345	0.031
evm.model.Seg1234.15	0.5165	0.0	0.912	0.6367	0.2357	1.0723	0.4225
evm.model.Seg1254.12	26.419	3.8545	0.3057	4.732	1.872	1.522	0.1225
evm.model.Seg12546.1	0.0895	0.0	0.2447	1.1377	0.0737	0.0	0.0
evm.model.Seg1268.13	2.048	0.856	1.7677	3.4997	1.7597	2.131	0.4985
evm.model.Seg1273.8	26.994	24.9945	30.975	55.8463	23.383	12.1163	0.0
evm.model.Seg1275.1.1.57f48f76	16.7605	1.19	46.0	9.7053	26.2613	21.8703	15.861
evm.model.Seg1299.9	4.5535	2.6735	5.161	8.5327	12.1637	6.0297	4.9035
evm.model.Seg130.5	37.643	1.945	13.5283	33.8457	30.7353	44.1173	34.9075
evm.model.Seg1308.8	0.4845	0.5005	0.8083	1.1163	0.4207	2.411	0.0
evm.model.Seg1342.3	5.6505	5.5755	2.0803	27.0347	14.8687	8.524	18.1815
evm.model.Seg13451.1	0.4655	0.0975	0.0843	2.401	0.0	0.3853	0.0
evm.model.Seg1359.16	29.2235	1.5245	11.116	34.4343	29.0573	36.249	42.0095
evm.model.Seg1359.21	8.8385	2.2905	5.181	9.2233	5.8453	5.9223	11.1175
evm.model.Seg1365.9	4.0035	0.104	0.8827	7.755	3.5197	0.0	2.0465
evm.model.Seg1373.5	5.7655	2.8525	3.8463	14.3067	4.034	1.626	5.477
evm.model.Seg1399.1	4.5295	1.5045	8.9337	12.2367	5.246	8.5337	11.4915
evm.model.Seg1399.4	18.4335	1.4515	8.603	13.3653	22.5957	10.5227	31.894
evm.model.Seg142.2	8.5945	0.0	9.9377	11.0557	5.6343	19.979	3.9125
evm.model.Seg1422.1	14.1	1.45	5.7347	11.7773	10.36	11.8463	17.55
evm.model.Seg1422.5	6.633	0.0845	2.92	13.8927	2.4333	6.6423	5.352
evm.model.Seg1465.5	3.6395	0.014	0.775	7.0067	5.4977	3.3287	0.6355
