	early planula	late planula	polyp	early strobila	late strobila	ephyra	juvenile
evm.model.Seg1465.6	1.395	0.089	0.1957	1.741	0.86	0.436	0.0965
evm.model.Seg1478.3	2.678	0.0	0.656	0.6657	1.395	0.6147	0.0
evm.model.Seg1479.9	0.9945	0.337	0.3643	9.051	3.0103	0.0	3.862
evm.model.Seg1522.3	0.561	0.4595	0.578	2.6367	0.7847	0.7567	0.731
evm.model.Seg1538.1	3.1965	0.0	1.4743	26.7077	13.1963	15.838	12.1645
evm.model.Seg1538.2	1.498	0.0	0.2153	2.4373	0.6537	2.3527	3.059
evm.model.Seg1546.5	0.5825	0.007	0.0107	0.3917	0.1547	0.0243	0.0
evm.model.Seg1564.2	4309.165	1209.0025	4258.204	4970.157	3117.7443	9992.905	4373.288
evm.model.Seg1585.2	2.4085	0.0	0.247	1.4227	0.999	1.378	2.8275
evm.model.Seg15870.1	2.0585	0.08	1.3763	0.899	2.7337	2.1973	0.807
evm.model.Seg1602.6	6.9	3.5385	6.5423	14.8173	25.3333	8.4507	8.779
evm.model.Seg1614.10	6.2875	1.6005	3.86	13.6713	7.4617	0.818	4.727
evm.model.Seg1647.1	0.3125	0.0925	0.1373	1.5673	0.577	0.2993	0.706
evm.model.Seg1653.12	8.7	2.328	3.6127	9.0997	11.2417	9.946	6.7085
evm.model.Seg1668.12	1.482	0.258	2.0357	0.8637	1.242	0.9523	0.839
evm.model.Seg1668.2	1.154	0.9235	0.7053	7.0317	2.948	1.7583	2.355
evm.model.Seg1675.10.1.57f48f77	1.6475	0.0	0.4043	1.0243	0.6417	1.0	1.4895
evm.model.Seg1682.3.1.57f48f77	1.5365	0.1735	3.279	6.8197	15.813	3.013	4.584
evm.model.Seg1683.9	32.962	10.0525	406.0233	64.633	45.8203	46.43	1.175
evm.model.Seg1686.9.2.57f48f77	0.394	0.0	0.3123	0.3287	0.26	0.3083	0.0
evm.model.Seg1695.2	0.137	0.17	0.0963	1.4447	0.29	0.216	0.11
evm.model.Seg1698.5	6.5545	0.1355	1.679	6.8807	6.484	7.147	5.4745
evm.model.Seg1698.7	8.098	3.1475	5.3217	13.3547	9.363	9.824	11.084
evm.model.Seg1704.12	0.27	0.072	0.0677	0.717	0.1197	0.0243	0.0685
evm.model.Seg1709.1	2.758	2.6795	3.2653	5.555	1.399	1.7263	3.106
evm.model.Seg1714.4	8.0175	1.2015	4.908	5.6177	4.5247	4.8803	3.41
evm.model.Seg1715.9.1.57f48f77	2.665	4.464	4.876	3.756	6.7677	4.237	0.0
evm.model.Seg1717.8	4.1295	2.063	4.318	9.5757	12.273	4.4607	3.538
evm.model.Seg1719.8	9.8905	2.599	5.712	10.6653	7.8717	9.044	10.073
evm.model.Seg1727.2	0.7375	0.0	1.3523	1.2963	1.6673	1.252	1.4215
evm.model.Seg1731.11	29.6765	8.4395	31.9847	34.3437	20.0887	67.0243	52.545
evm.model.Seg1731.4.1.57f48f77	7.2635	1.822	1.145	2.43	0.88	2.431	1.0995
evm.model.Seg1739.11	11.8425	0.0	0.3453	18.933	2.2137	0.0847	0.0
evm.model.Seg1743.3	7.884	1.599	2.495	12.0217	3.8657	2.2547	5.3165
evm.model.Seg1759.1	8.0755	3.5115	8.3257	11.1773	9.2423	7.4577	0.2535
evm.model.Seg1766.5	3.1235	2.829	2.322	3.608	3.3233	1.7	0.0375
evm.model.Seg1769.8.2.57f48f78	27.44	4.407	3.2167	46.1753	13.0103	26.18	98.1825
evm.model.Seg1773.1	5.57	1.6915	1.6313	6.5043	0.9277	1.8987	0.903
evm.model.Seg1773.11.1.57f48f78	1.0395	0.0345	0.7707	2.1993	1.651	1.8997	2.3575
evm.model.Seg1773.2	0.0	0.0	0.0683	10.3527	0.145	0.5297	0.0
evm.model.Seg1776.7.3.57f48f78	0.7465	0.114	0.146	0.2393	0.0	0.0	0.0
evm.model.Seg1782.13	4.7475	1.075	1.275	5.8003	2.8807	2.2283	4.53
evm.model.Seg1784.9	37.09	0.0	139.2047	260.4097	68.1217	150.423	96.305
evm.model.Seg1787.9	2.0265	0.021	0.1123	0.9903	1.3273	0.5967	0.0385
evm.model.Seg1791.9	2.0335	4.326	0.0663	4.2913	2.5473	1.5997	3.163
evm.model.Seg1794.6	0.2195	0.0	0.1307	0.8593	0.135	0.0	0.1375
evm.model.Seg1811.5	14.4875	2.19	4.8517	11.7853	13.4913	19.041	18.5775
evm.model.Seg1816.10.1.57f48f78	6.6225	0.007	4.8747	15.8	2.208	5.457	16.1525
evm.model.Seg1828.10.1.57f48f78	30.362	1.9775	13.9247	31.351	29.522	38.676	35.1925
evm.model.Seg1828.7.1.57f48f78	2.631	0.5485	1.129	1.993	1.858	1.7693	1.952
evm.model.Seg1829.2.1.57f48f78	10.398	2.8995	4.6957	6.755	14.9663	8.9593	9.5415
evm.model.Seg18.3	0.1435	0.082	0.139	0.1793	0.0163	0.0883	0.106
evm.model.Seg183.1	6.9005	5.274	7.441	5.4077	2.9117	2.5537	0.13
evm.model.Seg1835.12	6.2635	0.0	0.8107	9.544	3.493	9.9003	3.2425
evm.model.Seg1838.12	0.346	0.0	0.0197	0.619	0.1737	0.1007	0.3775
evm.model.Seg1838.8	0.736	0.0	0.0	1.885	0.055	0.42	0.0
evm.model.Seg1845.15	1.3045	0.0	0.017	1.795	0.0967	0.3037	1.3215
evm.model.Seg1851.5	3.7775	0.2055	0.3687	1.94	0.44	1.047	1.7455
evm.model.Seg1866.8	4.2125	0.7695	1.6623	11.1097	8.6277	4.582	1.5645
evm.model.Seg1870.2	6.449	2.171	12.324	7.5533	11.1507	8.7777	10.766
evm.model.Seg1873.4	2.458	0.0	2.9627	13.017	7.0863	5.9217	0.0
evm.model.Seg1874.1.1.57f48f78	1.0245	0.0	0.7797	1.146	1.118	0.554	0.5125
evm.model.Seg1874.1.3.57f48f78	0.326	0.0	0.0443	0.149	0.213	0.0	0.0845
evm.model.Seg1877.6	0.827	0.369	0.604	1.742	1.0083	0.4627	0.9905
evm.model.Seg1893.6	4.1205	0.228	1.241	5.4937	5.1077	5.045	2.6705
evm.model.Seg1893.6.1.57f48f78	1.311	0.109	0.5057	4.3027	2.6627	2.0987	1.4365
evm.model.Seg1893.7	1.0395	0.073	0.0563	1.4903	0.564	0.1353	0.0
evm.model.Seg1901.5.1.57f48f78	0.0	0.0	0.017	0.067	0.0	0.0	0.0215
evm.model.Seg192.3	30.397	0.104	66.113	28.9843	36.1703	28.3063	32.0825
evm.model.Seg1924.7	3.6785	0.2025	3.3183	3.958	3.637	5.817	2.2275
evm.model.Seg1941.3	0.5875	0.0	0.2953	2.536	0.267	0.443	0.3915
evm.model.Seg1945.4	1.4465	0.072	0.7197	1.3323	0.341	1.5817	1.394
evm.model.Seg1971.5.1.57f48f78	4.1865	1.2145	1.247	2.2153	0.4623	1.6	0.7315
evm.model.Seg1980.4	26.5925	7.4895	26.3237	29.1607	21.6637	24.8443	33.8705
evm.model.Seg1990.1	1.5255	0.0	0.247	13.881	5.6203	1.2907	0.0
evm.model.Seg2004.3	0.076	0.05	0.7847	3.8383	0.4573	1.123	1.121
evm.model.Seg2012.11_evm.model.Seg2012.9	3.5935	0.8685	5.1117	5.3533	6.244	5.9443	6.6875
evm.model.Seg202.7	9.191	0.0705	3.1717	4.5757	5.461	5.4773	4.585
evm.model.Seg2042.3	1.3045	0.8965	0.0	2.1957	1.1453	1.133	1.294
evm.model.Seg2058.6	3.558	0.0	0.5453	1.3923	7.8153	3.6243	1.433
evm.model.Seg2061.2	7.421	2.011	7.4813	7.8753	8.005	7.1243	6.194
evm.model.Seg2061.4	10.286	0.0	3.5403	7.8487	1.3787	9.5517	6.7475
evm.model.Seg2075.2.2.57f48f79	1.001	0.0	0.5753	0.5093	0.5537	0.0	0.4585
evm.model.Seg2082.1	1649.609	437.387	2462.963	1636.3677	1290.935	4300.3487	1825.0265
evm.model.Seg2089.1.2.57f48f79	2.194	1.087	1.414	5.7987	2.8087	3.1043	3.6805
evm.model.Seg2094.7	4.209	1.128	4.5697	6.1363	3.564	4.3453	5.678
evm.model.Seg2105.3	2.4965	0.0	0.1133	1.5203	0.797	0.061	0.6945
evm.model.Seg2112.5	0.0	0.0	0.1363	0.632	0.0983	0.0	0.0
evm.model.Seg2136.5.4.57f48f79	0.3995	0.3815	0.637	0.899	0.3473	0.4523	0.0
evm.model.Seg2154.3	29.103	14.077	16.0713	156.58	51.3743	9.587	20.9995
evm.model.Seg2190.7	305.824	51.4525	785.15	291.4713	191.0333	1350.6927	178.005
evm.model.Seg2208.4	26.9875	4.0515	7.7963	30.8957	8.4643	17.543	4.5565
evm.model.Seg2209.1	8.0825	2.642	1.2147	5.611	1.3627	1.6297	4.8055
evm.model.Seg221.2	16.9205	2.2885	7.4437	8.4157	10.609	5.4043	5.76
evm.model.Seg2219.8	28.2835	5.831	29.331	42.803	21.518	18.1507	9.3845
evm.model.Seg2237.1	13.405	0.0	4.3467	18.1263	2.2797	8.2587	14.261
evm.model.Seg2240.7	14.261	1.004	24.8093	15.7333	11.2103	17.5923	12.89
evm.model.Seg2322.2	34.1925	14.2065	35.2537	85.097	67.1557	41.5747	31.079
evm.model.Seg2322.3	14.36	1.664	5.982	8.2657	1.924	13.6887	2.8275
evm.model.Seg2322.9	1.208	0.0905	1.1407	1.481	2.192	1.8463	1.2825
evm.model.Seg2325.2.1.57f48f79	0.804	0.329	1.1093	1.085	0.1987	0.1947	0.542
evm.model.Seg2325.2.2.57f48f79	0.4845	0.0	0.2883	0.4623	0.4697	0.476	0.0
evm.model.Seg2355.6	1.073	0.3015	0.3537	2.886	0.2073	0.1323	0.0
evm.model.Seg2366.5	5.0595	2.077	11.7007	6.94	4.33	3.137	0.054
evm.model.Seg2408.1	1.2205	1.0465	0.2057	1.978	0.3787	0.9703	1.2985
evm.model.Seg2408.4	11.4755	5.042	4.6193	26.27	8.005	22.9913	30.685
evm.model.Seg2413.1	44.831	3.073	33.302	50.13	33.3027	28.319	33.5415
evm.model.Seg2424.5	0.097	0.014	0.0767	0.6237	0.1173	0.0	0.031
evm.model.Seg2454.6	3.579	1.378	3.121	6.4	8.7457	3.5197	3.8385
evm.model.Seg2468.1	18.458	5.044	16.37	22.454	16.4173	20.204	22.771
evm.model.Seg2471.3.2.57f48f79	14.9645	4.955	12.1063	18.0433	22.426	11.1603	14.896
evm.model.Seg2494.2	4.1605	3.581	4.0753	13.182	7.6603	3.795	12.083
evm.model.Seg2516.5	0.1875	0.0	0.0	0.4793	0.071	0.0947	0.0
evm.model.Seg2519.5	1.383	0.0415	0.2573	0.7473	0.7023	0.1653	0.4825
evm.model.Seg2569.3	33.661	13.1085	71.3683	46.7437	30.5797	114.329	38.696
evm.model.Seg2585.1	0.51	0.038	0.2363	0.5307	0.3717	0.442	0.4405
evm.model.Seg2619.3.1.57f48f79	0.949	0.0	0.4857	1.894	2.0863	1.7523	2.0395
evm.model.Seg2619.6	2.6105	0.698	0.925	2.3613	0.8157	0.0	1.1515
evm.model.Seg2628.13.3.57f48f79	0.1475	0.047	0.0327	0.0747	0.0	0.0	0.0
evm.model.Seg2635.4	3.626	0.802	1.1683	6.6837	0.3487	0.807	0.257
evm.model.Seg264.2	6.869	1.8795	2.539	7.192	6.2153	6.387	7.6145
evm.model.Seg2655.2	26.964	8.232	22.7233	30.8173	22.9177	30.2113	31.375
evm.model.Seg2673.4	6.3525	1.684	4.0623	9.2653	7.892	6.5217	7.3855
evm.model.Seg2674.2	4.9585	1.602	0.0867	5.6437	1.253	0.0	1.6015
evm.model.Seg2678.5	2.1425	0.0615	0.7083	1.5203	1.312	1.508	1.488
evm.model.Seg2721.2	80.2225	10.193	29.6043	58.9063	62.6203	67.1907	68.434
evm.model.Seg2754.5.1.57f48f7a	2.925	1.175	3.917	14.9093	3.5333	2.386	5.901
evm.model.Seg278.7_evm.model.Seg278.8	28.098	6.906	24.4423	75.942	26.624	21.4757	25.115
evm.model.Seg2790.2	2.699	0.0	0.6073	7.7307	3.53	2.467	1.4895
evm.model.Seg2803.4	5.4805	3.6245	2.798	15.5073	7.211	2.6623	10.3965
evm.model.Seg2831.1	3.3535	0.262	0.568	1.7697	1.1737	1.111	0.972
evm.model.Seg2869.1	10.6895	0.147	16.056	4.173	2.6523	6.3663	3.7005
evm.model.Seg287.12	2.969	0.282	0.721	5.0887	1.265	1.0823	0.6545
evm.model.Seg2871.2	10.9505	4.102	6.0533	19.2933	13.442	18.4107	18.149
evm.model.Seg2873.1	25.4695	2.065	3.1473	24.864	20.6567	20.45	20.695
evm.model.Seg2878.2	0.3995	0.231	0.312	1.2257	0.173	0.0427	0.5785
evm.model.Seg2879.1.1.57f48f7a	1.022	0.7175	0.1473	2.459	0.637	0.3837	1.8225
evm.model.Seg2880.3	0.829	0.0975	0.5547	0.8103	0.7217	0.696	1.2385
evm.model.Seg290.3	1.8495	0.0	0.277	0.3997	0.7263	0.0207	0.878
evm.model.Seg2904.4	14.697	22.3205	56.244	94.3153	5.7027	3.022	7.63
evm.model.Seg2924.1	69.3005	11.6625	92.359	84.9423	22.8283	280.1693	44.592
evm.model.Seg2941.1.1.57f48f7a	3.603	0.1875	1.2133	5.223	4.775	2.463	4.4115
evm.model.Seg2949.4	4.8375	0.6485	4.1117	12.2697	14.7047	6.9573	5.488
evm.model.Seg2967.1.2.57f48f7a	7.5315	2.069	3.6177	4.1937	11.527	7.396	7.1255
evm.model.Seg3028.3	0.8715	0.1495	0.0447	1.213	0.0	0.1553	0.0215
evm.model.Seg3053.7	1.453	0.0	0.0197	1.2777	0.168	0.0	0.0
evm.model.Seg3053.7.1.57f48f7a	12.331	0.6725	0.6103	4.948	0.9573	1.437	0.0
evm.model.Seg3061.1	2.3165	1.058	4.165	5.8817	2.5073	1.7643	0.0
evm.model.Seg3117.1.2.57f48f7a	2.321	1.8895	2.7133	5.5757	3.2143	3.7847	0.0725
evm.model.Seg3117.6	0.0	0.0	0.0	0.3287	0.0	0.0	0.0
evm.model.Seg3133.3	0.813	0.446	0.47	0.786	0.1687	0.3217	0.657
evm.model.Seg318.6	1.014	0.0	0.087	0.5087	0.1923	0.5123	0.2065
evm.model.Seg3193.2	1.2245	0.425	2.0357	1.7207	1.5807	1.4663	0.0
evm.model.Seg3208.3	10.2395	0.758	8.2873	12.2277	8.592	9.961	15.06
evm.model.Seg3283.4	8.393	2.2165	3.417	8.534	2.8437	2.0187	6.9295
evm.model.Seg332.5	4.859	0.3585	0.8133	1.9363	2.162	1.144	0.5765
evm.model.Seg3335.3	56.933	7.8595	21.2383	35.9657	1.1777	58.9563	4.4015
evm.model.Seg3382.2.2.57f48f7a	9.669	1.8235	0.8437	5.3513	0.2473	3.1457	3.688
evm.model.Seg3433.1	17.9265	8.1625	24.5063	65.3913	76.7907	23.5317	27.1935
evm.model.Seg3473.4	5.243	0.519	2.3433	6.107	4.5083	6.1883	5.5505
evm.model.Seg3495.3	24.879	2.524	33.972	72.1577	43.5923	31.2413	27.9955
evm.model.Seg351.12.1.57f48f7a	1.2435	0.4025	0.2703	1.4703	0.3497	0.9917	1.3485
evm.model.Seg351.14	0.296	0.0415	0.3413	0.6233	0.0597	0.3243	0.0385
evm.model.Seg353.7	17.37	0.867	13.8267	27.6667	15.598	10.394	0.204
evm.model.Seg353.8	0.9235	0.0	0.0937	2.4393	0.8983	0.0	0.0
evm.model.Seg3544.2	11.0935	4.5885	8.1283	18.2087	12.708	10.4077	9.853
evm.model.Seg3561.5	1.897	1.883	1.8343	3.3013	0.4653	0.9	1.514
evm.model.Seg3581.1	1.866	0.32	5.6983	11.148	28.3443	4.93	6.888
evm.model.Seg362.5	9.634	0.0	14.742	35.9	14.1323	25.1763	30.9795
evm.model.Seg3735.1	11.449	1.0085	19.7997	6.395	7.379	14.2077	13.2625
evm.model.Seg3746.3	0.3555	0.3175	0.6613	0.7563	0.574	0.4693	0.0
evm.model.Seg3749.1	15.3005	3.2775	12.99	13.0667	9.511	16.766	21.9065
evm.model.Seg375.1	16.2325	1.5605	6.2613	12.43	23.815	6.5327	9.7545
evm.model.Seg3765.5	25.5965	0.0	14.6443	25.7257	9.1433	3.729	4.4175
evm.model.Seg3769.3	1.1235	0.0905	0.4227	5.803	2.6907	2.2013	1.6415
evm.model.Seg378.1	0.82	0.0	0.0817	8.1903	1.4637	0.0	0.0
evm.model.Seg3791.3	3.784	0.198	0.8333	6.5233	3.3057	3.9423	2.035
evm.model.Seg382.21	0.3165	0.0	0.1877	2.5763	0.523	0.0	0.0
evm.model.Seg38.3.1.57f48f7b	1.7475	0.1005	0.498	0.8697	0.5417	0.23	0.8245
evm.model.Seg3855.1	1.44	0.0635	0.0173	6.0003	1.9057	0.0	0.0
evm.model.Seg3899.1	2.8435	1.6305	1.331	6.9563	3.6813	3.6613	1.628
evm.model.Seg3906.3	2.704	0.4585	4.4077	3.3343	2.9923	4.144	0.0
evm.model.Seg3927.3	0.0	0.0	0.099	3.6683	0.1407	0.0	0.0
evm.model.Seg394.2	2.7545	2.213	2.841	3.4127	2.9473	1.7737	0.0
evm.model.Seg3960.2	21.123	3.0705	20.9117	29.286	21.3587	24.653	28.42
evm.model.Seg3963.2	0.11	0.0245	0.1257	0.644	0.1503	0.0	0.0505
evm.model.Seg3969.1	3.061	0.542	0.3843	3.5953	0.895	0.698	0.24
evm.model.Seg4048.1.1.57f48f7b	19.149	24.517	25.254	28.5297	37.6483	20.5567	0.6085
evm.model.Seg408.1	0.266	0.0245	0.233	0.6293	0.131	0.2377	0.1955
evm.model.Seg4090.1	5.4385	0.7595	2.2417	4.979	2.6943	2.9983	2.3645
evm.model.Seg4094.1	48.816	0.0	134.449	335.949	92.6387	110.8893	62.2405
evm.model.Seg4119.6	12.533	4.5755	0.099	14.4733	3.25	1.7533	2.8855
evm.model.Seg4149.2	3.961	0.119	0.5963	0.822	0.9553	1.2573	0.1575
evm.model.Seg4204.2	11.2385	1.2355	1.0087	7.1177	2.274	0.6377	1.8205
evm.model.Seg4218.3.1.57f48f7b	225.629	65.2505	143.0683	244.3743	261.3653	262.5447	285.4255
evm.model.Seg4272.1	0.7815	0.245	0.287	2.334	0.3213	0.838	0.445
evm.model.Seg4314.2	0.0	0.0	0.022	2.413	0.0	0.0	0.0
evm.model.Seg4396.1	0.921	0.555	0.1933	4.0353	2.434	1.5737	2.297
evm.model.Seg4400.1	0.8845	0.0	0.7187	8.9337	0.679	0.0	1.5115
evm.model.Seg4419.1	27.181	3.336	18.17	34.138	14.165	19.9993	39.66
evm.model.Seg453.3	59.455	10.8595	78.2097	53.757	39.896	78.185	50.44
evm.model.Seg453.3.1.57f48f7b	216.3865	67.2935	366.912	298.9233	245.3303	413.5893	228.9415
evm.model.Seg4631.3	4.189	0.969	3.941	5.8273	6.3893	3.79	3.567
evm.model.Seg471.1.1.57f48f7b	1.752	0.0705	0.911	1.3063	0.7367	1.132	0.47
evm.model.Seg473.4	44.729	21.226	65.738	102.14	181.6657	102.5317	76.225
evm.model.Seg4755.1	0.323	0.2045	0.1027	1.2307	0.339	0.067	0.0
evm.model.Seg483.1	6.279	2.5	4.3103	12.9387	12.2817	11.1163	9.4055
evm.model.Seg4841.2	2.3375	0.0	0.7373	2.1483	1.2693	0.8247	0.962
evm.model.Seg4952.2	9.9985	2.2195	24.6107	11.4277	4.3977	15.002	12.3005
evm.model.Seg4966.2.1.57f48f7c	3.364	0.0	0.4797	1.28	5.282	3.753	2.314
evm.model.Seg5012.1.1.57f48f7c	1.413	0.0	0.3687	1.1677	0.848	0.0	1.3305
evm.model.Seg508.5	8.9355	2.4665	16.1573	16.844	11.1473	13.509	36.825
evm.model.Seg5112.1	8.124	1.6635	6.2867	10.4867	6.552	3.6013	8.626
evm.model.Seg517.2	1.014	0.0	0.0	1.3303	0.1313	0.7287	1.478
evm.model.Seg5207.1	3.9715	1.237	1.625	5.6433	0.7773	0.6303	2.296
evm.model.Seg5217.1	0.949	0.0	0.2767	9.103	0.0603	2.6537	0.0385
evm.model.Seg5217.2	0.4195	0.0605	0.1353	2.976	0.077	0.8587	0.0
evm.model.Seg5383.3	6.4505	0.0	2.4707	14.1663	10.5297	9.4207	7.976
evm.model.Seg549.9	7.378	2.3595	3.718	10.784	7.9823	3.5177	6.8685
evm.model.Seg550.10.1.57f48f7c	0.2715	0.0	0.0693	0.748	0.0	0.0	0.0
evm.model.Seg5523.1.1.57f48f7c	1.5685	0.101	0.547	1.6667	1.518	0.4717	1.7195
evm.model.Seg5561.2	9.914	0.807	2.6773	4.6937	4.6347	5.7073	5.4085
evm.model.Seg5587.3	5393.9775	685.807	387.041	4257.8513	1127.6927	1856.687	5327.0175
evm.model.Seg5618.3	0.0	0.0345	0.0	2.3203	0.162	0.0853	0.0
evm.model.Seg5623.1	2.4435	1.105	0.8803	4.3867	0.481	1.197	1.0945
evm.model.Seg571.20	1.4815	0.351	1.47	1.417	1.9187	1.8383	0.9665
evm.model.Seg5758.1	2.1955	0.0	0.392	5.1013	3.4497	3.001	2.3585
evm.model.Seg5904.1.1.57f48f7c	1.479	0.087	1.5203	3.4983	0.78	3.0093	1.351
evm.model.Seg596.8	1.9115	0.0	0.5143	0.9083	0.8253	3.5003	0.0
evm.model.Seg6036.2	1.061	0.747	0.389	8.0277	0.422	1.9763	0.8615
evm.model.Seg609.7	1482.12	378.0185	1651.726	2062.1267	1116.244	2898.7487	2031.29
evm.model.Seg611.5.1.57f48f7c	1.6585	0.0	0.4423	2.1043	1.6127	1.2637	2.1695
evm.model.Seg620.3	3.6245	0.3925	5.2933	2.1137	3.2053	3.4347	2.8855
evm.model.Seg622.5	0.928	0.547	0.5033	2.0317	0.496	0.7277	0.8585
evm.model.Seg6237.1	7.495	3.3535	2.2577	23.7617	0.7167	12.237	0.649
evm.model.Seg625.8	4.673	2.8305	4.3683	7.3767	1.7487	5.186	2.5355
evm.model.Seg6335.1	1.6435	0.875	0.8927	3.2497	0.5997	1.3953	1.339
evm.model.Seg6355.1	0.381	0.0	0.283	1.053	0.5723	0.2983	0.0
evm.model.Seg6400.1.1.57f48f7d	1.6545	0.0	0.527	0.7917	1.8313	1.2773	1.342
evm.model.Seg6522.1	2.822	0.045	3.939	7.6837	1.7993	3.0937	3.1845
evm.model.Seg6559.1	6.3215	0.0	0.0197	1.726	2.2953	2.9207	0.0
evm.model.Seg664.1	1.2075	0.0	0.3937	0.931	0.141	1.3007	0.0
evm.model.Seg6644.1	0.0385	0.1445	0.874	29.8023	0.1487	0.3653	0.0
evm.model.Seg690.12.1.57f48f7d	15.0405	0.0	3.8607	9.7077	8.123	12.3443	14.8905
evm.model.Seg690.13	5.281	1.735	2.8713	6.24	3.6213	3.382	4.318
evm.model.Seg699.6.1.57f48f7d	0.859	0.0	0.6987	1.0243	2.652	2.346	1.432
evm.model.Seg711.3	197.983	34.87	116.6223	149.0423	72.7827	196.2517	194.993
evm.model.Seg7143.1	4.6565	0.5975	0.892	2.4427	2.671	0.6127	0.3815
evm.model.Seg719.8	0.607	0.0	0.015	1.4417	0.1343	0.0913	0.0
evm.model.Seg7273.1	3.7035	0.4505	1.5673	3.556	9.0303	7.063	3.4935
evm.model.Seg732.2.1.57f48f7d	2.4025	0.0	0.5453	1.1083	0.0	2.85	1.721
evm.model.Seg736.2	97.399	12.1735	38.3683	95.0427	86.9037	79.1393	144.116
