	early planula	late planula	polyp	early strobila	late strobila	ephyra	juvenile
evm.model.Seg1005.4.1.57f48f75	0.9435	0.643	0.5063	2.9423	2.75	1.3743	1.88
evm.model.Seg1006.4	1.4785	0.0	1.0987	7.5487	16.715	8.349	4.996
evm.model.Seg1010.28	0.2775	0.2945	1.1987	1.9713	7.2607	1.2887	2.525
evm.model.Seg10103.1	18.7855	52.8555	93.2937	111.431	102.1843	25.5947	2.658
evm.model.Seg1011.2	0.1205	0.226	0.9043	1.2453	1.4097	0.286	0.0
evm.model.Seg1019.6.1.57f48f75	0.0	0.0	0.0743	1.18	1.6503	0.8703	0.0
evm.model.Seg1021.3	2.158	0.84	5.045	3.1827	8.3297	2.3987	2.8285
evm.model.Seg10242.1	4.124	4.376	10.5753	25.8563	22.1907	8.76	17.6105
evm.model.Seg1025.5	0.0905	0.3615	2.576	3.8053	6.0517	2.3137	5.884
evm.model.Seg1026.11	0.6005	0.0	0.0223	1.877	1.4833	0.1	0.0
evm.model.Seg1026.5	9.1855	3.2955	7.4603	10.0827	13.144	3.322	5.569
evm.model.Seg1044.4	0.0	0.0	1.7697	0.1257	1.6123	0.0	1.217
evm.model.Seg1045.9	12.066	2.851	4.399	13.6957	10.932	5.5717	6.9685
evm.model.Seg1048.7	9.77	3.491	5.0237	18.784	82.8833	41.9497	11.3445
evm.model.Seg1054.8	0.097	0.0	1.104	0.495	2.268	2.1677	0.806
evm.model.Seg1055.7	0.729	0.9255	3.669	2.283	5.684	4.732	5.8775
evm.model.Seg1058.6	6.11	2.409	13.7317	21.9357	27.431	28.573	21.403
evm.model.Seg10596.1	1.2645	0.0315	0.0497	3.5543	2.9717	0.7057	0.4865
evm.model.Seg1063.3	0.0	0.0635	0.1833	3.7853	8.1373	3.216	1.9705
evm.model.Seg1064.8	1.6335	2.402	1.169	1.3363	5.9303	1.564	2.328
evm.model.Seg1073.3	0.3875	1.714	4.772	4.7357	13.249	2.6013	2.237
evm.model.Seg1075.5	0.0775	1.3925	1.4743	2.8853	5.3257	0.7173	1.4065
evm.model.Seg1077.10	9.279	4.8125	38.9047	14.7237	27.1897	8.264	5.286
evm.model.Seg1089.2	0.807	0.0	0.3177	2.0607	4.115	1.0867	0.0
evm.model.Seg1091.15	8.221	0.5215	11.2143	69.3533	446.929	274.818	279.5065
evm.model.Seg1093.13	0.1785	0.014	0.1337	0.3187	0.4373	0.1643	0.0
evm.model.Seg1093.13.3.57f48f75	0.6305	1.4865	2.4837	3.6003	5.2253	1.489	2.948
evm.model.Seg1100.3	23.474	22.2365	304.174	527.4973	1201.1883	637.859	8.376
evm.model.Seg1116.8	0.15	0.1905	0.9407	0.8887	1.8393	0.8437	0.96
evm.model.Seg11181.1	0.2065	0.9335	1.8953	2.4873	2.1883	2.776	1.641
evm.model.Seg1123.1	0.0	0.0	0.6663	0.1493	8.4497	6.3887	0.0
evm.model.Seg1131.7	3.887	0.0	1.8443	4.915	8.1677	0.8857	0.7955
evm.model.Seg11394.1	9.6985	0.0	2.9233	0.0	17.0747	23.7547	0.0
evm.model.Seg114.1	3.192	4.565	13.3873	9.907	13.767	11.5283	15.799
evm.model.Seg1143.5	0.973	0.732	0.5667	1.4827	2.9393	1.7233	1.757
evm.model.Seg1143.7	0.4585	0.102	0.1017	0.9973	1.0227	0.0687	0.0
evm.model.Seg1146.7	0.429	0.1975	0.0937	0.7943	2.8297	1.3523	0.206
evm.model.Seg11503.1	0.3205	0.146	0.1077	1.3213	0.948	0.5513	0.55
evm.model.Seg1152.4	2.8525	9.04	5.484	14.9907	15.0823	1.7273	0.029
evm.model.Seg1158.4	6.1005	1.8865	17.153	29.283	41.7587	7.2103	10.453
evm.model.Seg1159.4	0.9785	3.2345	6.308	5.9407	7.9567	6.3413	7.5195
evm.model.Seg11599.1	4.9415	15.2315	28.931	54.778	58.4227	5.2513	1.429
evm.model.Seg1160.10	0.607	0.162	2.0937	6.3817	5.6437	1.0627	0.459
evm.model.Seg1160.13.1.57f48f75	0.297	1.4595	1.1207	1.8173	3.3197	0.6783	0.0
evm.model.Seg1167.10_evm.model.Seg1167.9	2.14	3.4495	3.6907	3.7383	9.6247	3.801	2.911
evm.model.Seg117.1	0.0425	0.068	0.135	0.384	1.9143	0.6777	1.248
evm.model.Seg11740.1	0.6705	0.0	0.8003	0.0	9.041	0.5173	5.6045
evm.model.Seg1182.6	15.1525	15.452	25.98	28.166	65.1747	25.1657	37.4775
evm.model.Seg1184.2.7.57f48f75	0.674	0.707	0.407	0.7937	1.2437	0.845	0.0
evm.model.Seg1190.10.2.57f48f75	0.3685	1.0195	0.7987	0.9203	2.0673	0.0	0.0
evm.model.Seg1193.7	5.9335	2.515	3.168	10.4947	19.1017	12.415	18.1845
evm.model.Seg1194.3	0.0	0.0615	0.187	1.8323	4.44	0.9193	0.295
evm.model.Seg1196.7	0.732	1.881	4.525	4.8933	14.2253	4.7843	3.383
evm.model.Seg12031.1	0.7555	0.0	0.2023	0.0743	2.4767	1.2963	0.9405
evm.model.Seg1206.1	0.0	0.027	0.417	0.5927	0.8193	0.4997	0.073
evm.model.Seg1208.9.3.57f48f75	0.0	0.8285	1.747	1.0043	1.5813	0.566	1.401
evm.model.Seg1218.7	1.1425	0.908	2.3583	4.652	4.596	2.7057	1.4395
evm.model.Seg1234.5	0.399	0.0615	0.265	2.0397	2.0277	0.6223	0.6985
evm.model.Seg12397.1	1.527	2.233	13.756	5.897	15.6537	18.0723	9.36
evm.model.Seg1243.2.2.57f48f76	0.0	0.0	0.1247	1.724	2.202	0.996	0.7165
evm.model.Seg1243.2.4.57f48f76	0.0	0.0	0.1067	0.8943	1.469	0.6487	1.3425
